Name,Club,Position,Overall
Gianluca Mancini,Roma FC,CB,83
Morata,Atlético de Madrid,ST,83
Gerard Moreno,Villarreal CF,ST,83
Dani Olmo,RB Leipzig,CAM,83
Willi Orban,RB Leipzig,CB,83
Oyarzabal,Real Sociedad,LM,83
Gavi,FC Barcelona,CM,83
Palhinha,Fulham,CDM,83
Benjamin Pavard,Inter,CB,83
Lorenzo Pellegrini,Roma FC,CAM,83
Marco Reus,Borussia Dortmund,CAM,83
Guido Rodríguez,Real Betis,CDM,83
Alessio Romagnoli,Latium,CB,83
William Saliba,Arsenal,CB,83
Patrik Schick,Leverkusen,ST,83
Nico Schlotterbeck,Borussia Dortmund,CB,83
Luke Shaw,Manchester Utd,LB,83
Raheem Sterling,Chelsea,LW,83
Dušan Vlahović,Juventus,ST,83
André-Franck Zambo Anguissa,Napoli FC,CDM,83
Piotr Zieliński,Napoli FC,CM,83
Manuel Akanji,Manchester City,CB,82
Robert Andrich,Leverkusen,CDM,82
Joelinton,Newcastle Utd,CM,82
Roberto Firmino,Al Ahli,CF,82
Rodrigo Bentancur,Spurs,CM,82
Eduardo Camavinga,Real Madrid,CDM,82
Carvajal,Real Madrid,RB,82
Ángel Correa,Atlético de Madrid,ST,82
Ricardo Horta,SC Braga,CAM,82
Otávio,Al Nassr,RM,82
Stefan de Vrij,Inter,CB,82
Boulaye Dia,Salernitana,ST,82
Federico Dimarco,Inter,LWB,82
Youssef En-Nesyri,Sevilla FC,ST,82
Seko Fofana,Al Nassr,CM,82
Javi Galán,Atlético de Madrid,LB,82
David García,CA Osasuna,CB,82
Gayà,Valencia CF,LB,82
Olivier Giroud,Milan,ST,82
Mario Götze,Frankfurt,CAM,82
Vincenzo Grifo,SC Freiburg,LM,82
Raphaël Guerreiro,FC Bayern München,LB,82
Joško Gvardiol,Manchester City,CB,82
Kai Havertz,Arsenal,CAM,82
Mario Hermoso,Atlético de Madrid,CB,82
Franck Yannick Kessié,Al Ahli,CDM,82
Presnel Kimpembe,Paris SG,CB,82
Orkun Kökçü,SL Benfica,CM,82
Mateo Kovačić,Manchester City,CM,82
Robin Le Normand,Real Sociedad,CB,82
Thomas Lemar,Atlético de Madrid,CM,82
Manuel Locatelli,Juventus,CDM,82
Alexis Mac Allister,Liverpool,CM,82
Donyell Malen,Borussia Dortmund,RM,82
Iñigo Martínez,FC Barcelona,CB,82
Joselu,Real Madrid,ST,82
Noussair Mazraoui,FC Bayern München,RB,82
Ferland Mendy,Real Madrid,LB,82
Nahuel Molina,Atlético de Madrid,RB,82
João Mário,SL Benfica,RM,82
Darwin Núñez,Liverpool,ST,82
Loïs Openda,RB Leipzig,ST,82
Nicolás Otamendi,SL Benfica,CB,82
Isi Palazón,Rayo Vallecano,RM,82
Pedro Gonçalves,Sporting CP,LW,82
Fernando,Sevilla FC,CDM,82
Cristian Romero,Spurs,CB,82
Jadon Sancho,Manchester Utd,LW,82
Stefan Savić,Atlético de Madrid,CB,82
Fabian Schär,Newcastle Utd,CB,82
Dominik Szoboszlai,Liverpool,CAM,82
Dušan Tadić,Fenerbahçe,LW,82
Mehdi Taremi,FC Porto,ST,82
Nuno Mendes,Paris SG,LB,82
Youri Tielemans,Aston Villa,CM,82
Lucas Torreira,Galatasaray,CDM,82
Ferran Torres,FC Barcelona,LW,82
Viktor Tsygankov,Girona FC,RM,82
Enes Ünal,Getafe CF,ST,82
Dayot Upamecano,FC Bayern München,CB,82
Timo Werner,RB Leipzig,ST,82
Callum Wilson,Newcastle Utd,ST,82
Granit Xhaka,Leverkusen,CM,82
Mattia Zaccagni,Latium,LW,82
Nathan Aké,Manchester City,CB,81
Ali Al Musrati,SC Braga,CDM,81
Raúl Albiol,Villarreal CF,CB,81
Toby Alderweireld,Royal Antwerp FC,CB,81
Miguel Almirón,Newcastle Utd,RW,81
Edson Álvarez,West Ham,CDM,81
Yeray,Athletic Club,CB,81
Maximilian Arnold,VfL Wolfsburg,CDM,81
Balde,FC Barcelona,LB,81
Steven Berghuis,Ajax,CAM,81
Benjamin Bourigeaud,Stade Rennais FC,CM,81
Davide Calabria,Milan,RB,81
Etienne Capoue,Villarreal CF,CM,81
Ben Chilwell,Chelsea,LB,81
Samuel Chukwueze,Milan,RW,81
Jonathan Clauss,OM,RWB,81
Sebastián Coates,Sporting CP,CB,81
Lucas Paquetá,West Ham,CAM,81
Bryan Cristante,Roma FC,CDM,81
Danilo,Juventus,CB,81
Arnaut Danjuma,Everton,ST,81
Jonathan David,LOSC Lille,ST,81
Fred,Fenerbahçe,CM,81
Denzel Dumfries,Inter,RWB,81
Lewis Dunk,Brighton,CB,81
João Félix,FC Barcelona,CF,81
Beto,Everton,ST,81
Nicolás González,Fiorentina,RW,81
Danilo Pereira,Paris SG,CDM,81
Lorenzo Insigne,Toronto FC,LW,81
Alexander Isak,Newcastle Utd,ST,81
Daichi Kamada,Latium,CAM,81
Simon Kjær,Milan,CB,81
Ibrahima Konaté,Liverpool,CB,81
Geoffrey Kondogbia,OM,CM,81
Andrej Kramarić,TSG Hoffenheim,CF,81
Dejan Kulusevski,Spurs,RW,81
Gaëtan Laborde,OGC Nice,ST,81
Pepe,FC Porto,CB,81
Giovani Lo Celso,Spurs,CAM,81
Ademola Lookman,Bergamo Calcio,ST,81
Hirving Lozano,PSV,RW,81
Reinildo,Atlético de Madrid,LB,81
Antony,Manchester Utd,RW,81
Nemanja Matić,Stade Rennais FC,CDM,81
Brais Méndez,Real Sociedad,CM,81
Dries Mertens,Galatasaray,CF,81
Arkadiusz Milik,Juventus,ST,81
Henrikh Mkhitaryan,Inter,CAM,81
Mason Mount,Manchester Utd,CAM,81
Muniain,Athletic Club,CAM,81
Felipe Anderson,Latium,RW,81
Matteo Politano,Napoli FC,RW,81
Pedro Porro,Spurs,RB,81
Ivan Rakitić,Sevilla FC,CM,81
Amir Rrahmani,Napoli FC,CB,81
Fabián Ruiz,Paris SG,CM,81
Allan Saint-Maximin,Al Ahli,LM,81
Sancet,Athletic Club,CAM,81
Ibrahim Sangaré,Nott'm Forest,CDM,81
Diego Carlos,Aston Villa,CB,81
Xaver Schlager,RB Leipzig,CDM,81
William Carvalho,Real Betis,CDM,81
Malcom,Al Hilal,RM,81
Mário Rui,Napoli FC,LB,81
Ellyes Skhiri,Frankfurt,CDM,81
Anderson Talisca,Al Nassr,CF,81
Jonathan Tah,Leverkusen,CB,81
Edmond Tapsoba,Leverkusen,CB,81
Martin Terrier,Stade Rennais FC,LM,81
Leandro Trossard,Arsenal,CF,81
Manuel Ugarte,Paris SG,CDM,81
Lucas Vázquez,Real Madrid,RB,81
Iñaki Williams,Athletic Club,RM,81
Wilfried Zaha,Galatasaray,LW,81
Duván Zapata,Torino,ST,81
Tammy Abraham,Roma FC,ST,80
Karim Adeyemi,Borussia Dortmund,LM,80
Isco,Real Betis,CAM,80
Julián Álvarez,Manchester City,ST,80
Sofyan Amrabat,Manchester Utd,CDM,80
Pepê,FC Porto,LM,80
Mauro Arambarri,Getafe CF,CDM,80
Marko Arnautović,Inter,ST,80
Pierre-Emerick Aubameyang,OM,ST,80
Ezequiel Ávila,CA Osasuna,ST,80
Harvey Barnes,Newcastle Utd,LW,80
Fran Beltrán,RC Celta,CDM,80
Ramy Bensebaini,Borussia Dortmund,LB,80
Álex Berenguer,Athletic Club,LM,80
Cristiano Biraghi,Fiorentina,LB,80
Leonardo Bonucci,Union Berlin,CB,80
Emiliano Buendía,Aston Villa,RM,80
Moisés Caicedo,Chelsea,CDM,80
Giorgio Chiellini,LAFC,CB,80
Francis Coquelin,Villarreal CF,CM,80
Juan Cuadrado,Inter,RM,80
Diogo Dalot,Manchester Utd,RB,80
Kevin Danso,RC Lens,CB,80
Matteo Darmian,Inter,CB,80
Richarlison,Spurs,ST,80
De Marcos,Athletic Club,RB,80
Marten de Roon,Bergamo Calcio,CDM,80
Deulofeu,Udinese,CF,80
Brahim,Real Madrid,CAM,80
Marcus Edwards,Sporting CP,RW,80
Eljif Elmas,Napoli FC,CAM,80
Aritz Elustondo,Real Sociedad,CB,80
Wataru Endo,Liverpool,CM,80
Pervis Estupiñán,Brighton,LB,80
Suso,Sevilla FC,RW,80
Youssouf Fofana,AS Monaco,CDM,80
Emil Forsberg,RB Leipzig,CAM,80
Juan Foyth,Villarreal CF,RB,80
Davide Frattesi,Inter,CM,80
Niclas Füllkrug,Borussia Dortmund,ST,80
Aleix García,Girona FC,CM,80
Nuno Santos,Sporting CP,LW,80
Nemanja Gudelj,Sevilla FC,CB,80
Dávid Hancko,Feyenoord,CB,80
Jordan Henderson,Ettifaq FC,CM,80
Ibañez,Al Ahli,CB,80
Mauro Icardi,Galatasaray,ST,80
Joan Jordán,Sevilla FC,CM,80
Boubacar Kamara,Aston Villa,CDM,80
Teun Koopmeiners,Bergamo Calcio,CM,80
Takefusa Kubo,Real Sociedad,RW,80
Erik Lamela,Sevilla FC,RW,80
Armand Laurienté,Sassuolo,LW,80
Victor Lindelöf,Manchester Utd,CB,80
Vitinha,Paris SG,CM,80
Anthony Martial,Manchester Utd,ST,80
Arnau Martínez,Girona FC,RB,80
Adam Marušić,Latium,LB,80
Joel Matip,Liverpool,CB,80
Chancel Mbemba,OM,CB,80
Facundo Medina,RC Lens,CB,80
Arthur Cabral,SL Benfica,ST,80
Kaoru Mitoma,Brighton,LM,80
Álex Moreno,Aston Villa,LB,80
Florentino,SL Benfica,CDM,80
Hany Mukhtar,Nashville SC,CF,80
Vedat Muriqi,RCD Mallorca,ST,80
Jesús Navas,Sevilla FC,RB,80
David Neres,SL Benfica,RM,80
Saúl,Atlético de Madrid,CM,80
Lucas Ocampos,Sevilla FC,RW,80
Exequiel Palacios,Leverkusen,CM,80
Mario Pašalić,Bergamo Calcio,CAM,80
Gonçalo Ramos,Paris SG,ST,80
Luiz Felipe,Al Ittihad,CB,80
Sergi Roberto,FC Barcelona,RB,80
Oriol Romeu,FC Barcelona,CDM,80
Valentin Rongier,OM,CDM,80
Marcel Sabitzer,Borussia Dortmund,CM,80
Téji Savanier,Montpellier,CAM,80
Leonardo Spinazzola,Roma FC,LWB,80
Nicolás Tagliafico,OL,LB,80
Kieran Tierney,Real Sociedad,LB,80
Rafael Tolói,Bergamo Calcio,CB,80
Hamari Traoré,Real Sociedad,RB,80
André Silva,Real Sociedad,ST,80
Carlos Vela,LAFC,RW,80
Jordan Veretout,OM,CM,80
Jonathan Viera,UD Las Palmas,CAM,80
Aaron Wan-Bissaka,Manchester Utd,RB,80
Ollie Watkins,Aston Villa,ST,80
Julian Weigl,M'gladbach,CDM,80
Benjamin White,Arsenal,RB,80
Georginio Wijnaldum,Ettifaq FC,CM,80
Nicolò Zaniolo,Aston Villa,RM,80
Oleksandr Zinchenko,Arsenal,LB,80
Hakim Ziyech,Galatasaray,RW,80
Zubeldia,Real Sociedad,CB,80
Zubimendi,Real Sociedad,CDM,80
Vincent Aboubakar,Beşiktaş,ST,79
Nayef Aguerd,West Ham,CB,79
Joseph Aidoo,RC Celta,CB,79
Ludovic Ajorque,1. FSV Mainz 05,ST,79
Thiago Almada,Atlanta United,CAM,79
Marcos Alonso,FC Barcelona,LB,79
Benjamin André,LOSC Lille,CDM,79
Fredrik Aursnes,SL Benfica,CM,79
Azpilicueta,Atlético de Madrid,RB,79
Alexander Bah,SL Benfica,RB,79
Leon Bailey,Aston Villa,RM,79
Ridle Baku,VfL Wolfsburg,RB,79
Folarin Balogun,AS Monaco,ST,79
Éver Banega,Al Shabab,CM,79
Ricardo Pereira,Leicester City,RB,79
Marc Bartra,Real Betis,CB,79
Christoph Baumgartner,RB Leipzig,CAM,79
Yuri Berchiche,Athletic Club,LB,79
Steven Bergwijn,Ajax,LW,79
Gonçalo Inácio,Sporting CP,CB,79
Yves Bissouma,Spurs,CDM,79
Sacha Boey,Galatasaray,RB,79
Giacomo Bonaventura,Fiorentina,CM,79
Jarrod Bowen,West Ham,RM,79
Dan Burn,Newcastle Utd,CB,79
Rémy Cabella,LOSC Lille,CAM,79
Antonio Candreva,Salernitana,CF,79
Nicolò Casale,Latium,CB,79
Matty Cash,Aston Villa,RB,79
Valentin Castellanos,Latium,ST,79
Catena,CA Osasuna,CB,79
Edinson Cavani,Boca Juniors,ST,79
Dani Ceballos,Real Madrid,CM,79
Patrick Ciurria,Monza,RM,79
Cucurella,Chelsea,LB,79
Romarinho,Al Ittihad,CF,79
Luuk de Jong,PSV,ST,79
Raúl de Tomás,Rayo Vallecano,ST,79
Thomas Delaney,RSC Anderlecht,CDM,79
Kerem Demirbay,Galatasaray,CM,79
Lucas Digne,Aston Villa,LB,79
Axel Disasi,Chelsea,CB,79
Angeliño,Galatasaray,LB,79
Eberechi Eze,Crystal Palace,CAM,79
Ignacio Fernández,River Plate,CAM,79
Wesley Fofana,Chelsea,CB,79
Przemysław Frankowski,RC Lens,RWB,79
Gonçalo Guedes,SL Benfica,ST,79
Álvaro García,Rayo Vallecano,LM,79
Lutsharel Geertruida,Feyenoord,RB,79
Carles Gil,New England,CAM,79
Alexandr Golovin,AS Monaco,LM,79
Joe Gomez,Liverpool,CB,79
Moi Gómez,CA Osasuna,CM,79
Edgar,UD Almería,CB,79
Robin Gosens,Union Berlin,LWB,79
Amine Gouiri,Stade Rennais FC,ST,79
Ryan Gravenberch,Liverpool,CM,79
Michael Gregoritsch,SC Freiburg,ST,79
Mattéo Guendouzi,Latium,CM,79
Christian Günter,SC Freiburg,LB,79
Ander Herrera,Athletic Club,CM,79
Piero Hincapié,Leverkusen,CB,79
Juanmi,Al Riyadh,LM,79
Kevin Kampl,RB Leipzig,CM,79
Lukas Klostermann,RB Leipzig,CB,79
Ezri Konsa,Aston Villa,CB,79
Mohammed Kudus,West Ham,RW,79
Manuel Lazzari,Latium,RB,79
Philipp Lienhart,SC Freiburg,CB,79
Renan Lodi,OM,LB,79
David López,Girona FC,CB,79
Matheus Nunes,Manchester City,CM,79
Harry Maguire,Manchester Utd,CB,79
Lovro Majer,VfL Wolfsburg,CM,79
Solly March,Brighton,RM,79
John McGinn,Aston Villa,CM,79
Callum McGregor,Celtic,CDM,79
Scott McTominay,Manchester Utd,CDM,79
Ben Mee,Brentford,CB,79
Nikola Milenković,Fiorentina,CB,79
Tyrone Mings,Aston Villa,CB,79
Aleksandar Mitrović,Al Hilal,ST,79
Gonzalo Montiel,Nott'm Forest,RB,79
Morales,Villarreal CF,ST,79
Nordi Mukiele,Paris SG,RB,79
Luis Muriel,Bergamo Calcio,ST,79
Wilfred Ndidi,Leicester City,CDM,79
Florian Neuhaus,M'gladbach,CM,79
Alex Telles,Al Nassr,LB,79
Ayoze Pérez,Real Betis,LM,79
Ivan Perišić,Spurs,LW,79
Kalvin Phillips,Manchester City,CDM,79
Ethan Pinnock,Brentford,CB,79
Yeremy Pino,Villarreal CF,LM,79
Christian Pulisic,Milan,LW,79
Giacomo Raspadori,Napoli FC,CF,79
Matheus Reis,Sporting CP,CB,79
Emanuel Reynoso,Minnesota United,CAM,79
Lucas Robertone,UD Almería,CM,79
Sebastian Rode,Frankfurt,CDM,79
Pedro,Latium,RW,79
Kaku,Al Ain FC,CAM,79
Perr Schuurs,Torino,CB,79
Mohamed Simakan,RB Leipzig,CB,79
Xavi Simons,RB Leipzig,CAM,79
Douglas Luiz,Aston Villa,CDM,79
Carlos Soler,Paris SG,CM,79
Alexander Sørloth,Villarreal CF,ST,79
Tomáš Souček,West Ham,CDM,79
Josip Šutalo,Ajax,CB,79
James Tarkowski,Everton,CB,79
Teddy Teuma,Stade de Reims,CM,79
Khéphren Thuram,OGC Nice,CM,79
Marcus Thuram,Inter,ST,79
Jurriën Timber,Arsenal,CB,79
Jean-Clair Todibo,OGC Nice,CB,79
Corentin Tolisso,OL,CDM,79
Óliver Torres,Sevilla FC,CM,79
Gernot Trauner,Feyenoord,CB,79
Samuel Umtiti,LOSC Lille,CB,79
Hans Vanaken,Club Brugge,CM,79
Jan Vertonghen,RSC Anderlecht,CB,79
Edin Višća,Trabzonspor,RM,79
Vivian,Athletic Club,CB,79
Kevin Volland,Union Berlin,ST,79
Nico Williams,Athletic Club,RM,79
Axel Witsel,Atlético de Madrid,CDM,79
Denis Zakaria,AS Monaco,CDM,79
Davide Zappacosta,Bergamo Calcio,LWB,79
Lucas Zelarayán,Al Fateh,CAM,79
Carlos Augusto,Inter,LM,79
Kurt Zouma,West Ham,CB,79
Salis Abdul Samed,RC Lens,CDM,78
Tyler Adams,AFC Bournemouth,CDM,78
Pizzi,SC Braga,CM,78
Rodrigo Aliendro,River Plate,CM,78
Joachim Andersen,Crystal Palace,CB,78
Michail Antonio,West Ham,ST,78
Gabriel Paulista,Valencia CF,CB,78
Serge Aurier,Nott'm Forest,RB,78
Sardar Azmoun,Roma FC,ST,78
Benoît Badiashile,Chelsea,CB,78
Simon Banza,SC Braga,ST,78
Antonín Barák,Fiorentina,CM,78
Sheraldo Becker,Union Berlin,ST,78
Héctor Bellerín,Real Betis,RB,78
Andrea Belotti,Roma FC,ST,78
Saïd Benrahma,West Ham,LM,78
Mergim Berisha,TSG Hoffenheim,ST,78
Federico Bernardeschi,Toronto FC,RW,78
Ludovic Blas,Stade Rennais FC,CAM,78
Denis Bouanga,LAFC,LW,78
Nélson Semedo,Wolves,RB,78
Mohamed Camara,AS Monaco,CDM,78
Maxence Caqueret,OL,CM,78
Matheus Cunha,Wolves,ST,78
Gedson Fernandes,Beşiktaş,CM,78
Gaetano Castrovilli,Fiorentina,CM,78
Eric Maxim Choupo-Moting,FC Bayern München,ST,78
Jordy Clasie,AZ,CDM,78
Santi Comesaña,Villarreal CF,CDM,78
Igor Coronado,Al Ittihad,CAM,78
Dante,OGC Nice,CB,78
Vladimír Coufal,West Ham,RB,78
Gustavo Cuéllar,Al Shabab,CDM,78
José Fonte,SC Braga,CB,78
Mahmoud Dahoud,Brighton,CM,78
Felipe,Nott'm Forest,CB,78
Nicolás De la Cruz,River Plate,CM,78
Evanilson,FC Porto,ST,78
Habib Diallo,Al Shabab,ST,78
Issa Diop,Fulham,CB,78
Ritsu Doan,SC Freiburg,RM,78
Danilho Doekhi,Union Berlin,CB,78
Oscar,Shanghai Port,CM,78
Cheick Doucouré,Crystal Palace,CDM,78
Sebastián Driussi,Austin FC,CAM,78
Munir,UD Las Palmas,LM,78
Stephan El Shaarawy,Roma FC,LM,78
Breel Embolo,AS Monaco,ST,78
Alfonso Espino,Rayo Vallecano,LB,78
Ansu Fati,Brighton,LW,78
Remo Freuler,Bologna,CDM,78
Conor Gallagher,Chelsea,CM,78
Rubén García,CA Osasuna,LM,78
Fran García,Real Madrid,LB,78
Pepelu,Valencia CF,CDM,78
Rachid Ghezzal,Beşiktaş,RW,78
Samuel Gigot,OM,CB,78
Santiago Giménez,Feyenoord,ST,78
Ismaily,LOSC Lille,LB,78
Jonathan Gradit,RC Lens,CB,78
Pascal Groß,Brighton,CM,78
Marc Guéhi,Crystal Palace,CB,78
Amadou Haidara,RB Leipzig,CM,78
Reo Hatate,Celtic,CM,78
Hans Hateboer,Bergamo Calcio,RWB,78
Thorgan Hazard,RSC Anderlecht,LM,78
Ahmed Hegazi,Al Ittihad,CB,78
Benjamin Henrichs,RB Leipzig,RB,78
Rico Henry,Brentford,LB,78
Héctor Herrera,Houston Dynamo,CM,78
Junya Ito,Stade de Reims,RM,78
Nicolas Jackson,Chelsea,ST,78
Florian Kainz,1. FC Köln,CAM,78
Pierre Kalulu,Milan,CB,78
Rick Karsdorp,Roma FC,RM,78
Moise Kean,Juventus,ST,78
Naby Keïta,SV Werder Bremen,CM,78
Sead Kolašinac,Bergamo Calcio,CB,78
Rade Krunić,Milan,CM,78
Kodjo Fo-Doh Laba,Al Ain FC,ST,78
Noa Lang,PSV,LW,78
Lee Jae Sung,1. FSV Mainz 05,CAM,78
Lee Kang In,Paris SG,LW,78
Emerson Royal,Spurs,RB,78
Mario Lemina,Wolves,CDM,78
Alex Sandro,Juventus,LB,78
Sean Longstaff,Newcastle Utd,CM,78
Maxime Lopez,Fiorentina,CM,78
Dejan Lovren,OL,CB,78
Dodi Lukébakio,Sevilla FC,RM,78
Renato Sanches,Roma FC,CM,78
Pablo Maffeo,RCD Mallorca,RWB,78
Nemanja Maksimović,Getafe CF,CM,78
Tyrell Malacia,Manchester Utd,LB,78
Ruslan Malinovskyi,Genoa,CF,78
Konstantinos Mavropanos,West Ham,CB,78
Philipp Max,Frankfurt,LWB,78
Bryan Mbeumo,Brentford,RW,78
Junior Messias,Genoa,RW,78
Luis Milla,Getafe CF,CM,78
Moncayola,CA Osasuna,CM,78
Hidemasa Morita,Sporting CP,CM,78
Galeno,FC Porto,LM,78
Marcão,Sevilla FC,CB,78
Fran Navarro,FC Porto,ST,78
Evan Ndicka,Roma FC,CB,78
Tanguy Ndombele,Galatasaray,CM,78
Victor Nelsson,Galatasaray,CB,78
Jota,Al Ittihad,LM,78
M'Bala Nzola,Fiorentina,ST,78
Michael Olise,Crystal Palace,RW,78
Caio Henrique,AS Monaco,LB,78
Mathías Olivera,Napoli FC,LB,78
Riccardo Orsolini,Bologna,RM,78
Salih Özcan,Borussia Dortmund,CDM,78
Vangelis Pavlidis,AZ,ST,78
Pedraza,Villarreal CF,LB,78
Nicolas Pépé,Trabzonspor,RM,78
Matteo Pessina,Monza,CAM,78
Quinn,OL Reign,CDM,78
Arthur,Fiorentina,CM,78
Jacob Ramsey,Aston Villa,LM,78
David Raum,RB Leipzig,LB,78
Reguilón,Manchester Utd,LB,78
