Name,Nation,Club,Position,Age,Overall,Shooting,Passing,Dribbling,Defending,Finishing
Andrew Robertson,Scotland,Liverpool,LB,29,86,61,82,81,81,55
Parejo,Spain,Villarreal CF,CM,34,86,83,90,81,73,83
Sadio Mané,Senegal,Al Nassr,CF,31,86,83,79,87,44,85
Toni Kroos,Germany,Real Madrid,CM,33,86,80,90,80,70,76
Éder Militão,Brazil,Real Madrid,CB,25,86,50,69,70,86,48
Christopher Nkunku,France,Chelsea,CF,25,86,81,83,89,62,86
N'Golo Kanté,France,Al Ittihad,CDM,32,86,65,73,78,85,64
João Cancelo,Portugal,FC Barcelona,LB,29,86,73,85,85,80,69
Cristiano Ronaldo,Portugal,Al Nassr,ST,38,86,88,75,77,34,87
Trent Alexander-Arnold,England,Liverpool,RB,25,86,69,90,78,80,62
Jack Grealish,England,Manchester City,LW,28,85,76,84,89,53,76
Marcos Acuña,Argentina,Sevilla FC,LB,31,85,74,83,82,81,66
David Alaba,Austria,Real Madrid,CB,31,85,71,83,77,85,63
Iago Aspas,Spain,RC Celta,ST,36,85,85,79,87,35,90
Alessandro Bastoni,Italy,Inter,CB,24,85,35,72,73,86,26
Domenico Berardi,Italy,Sassuolo,RW,29,85,83,81,86,36,85
Hakan Çalhanoğlu,Turkey,Inter,CM,29,85,80,86,85,70,75
Kingsley Coman,France,FC Bayern München,LM,27,85,76,79,88,30,75
Giovanni Di Lorenzo,Italy,Napoli FC,RB,30,85,67,75,78,82,66
Phil Foden,England,Manchester City,LW,23,85,79,82,88,57,81
Leon Goretzka,Germany,FC Bayern München,CM,28,85,81,81,84,80,81
Theo Hernández,France,Milan,LB,26,85,71,76,83,78,67
Ciro Immobile,Italy,Latium,ST,33,85,87,68,77,39,91
Jules Koundé,France,FC Barcelona,CB,24,85,45,68,72,86,47
Aymeric Laporte,Spain,Al Nassr,CB,29,85,50,73,64,86,45
Thomas Partey,Ghana,Arsenal,CDM,30,85,71,82,84,81,66
Marcus Rashford,England,Manchester Utd,LW,25,85,86,78,86,42,86
Declan Rice,England,Arsenal,CDM,24,85,65,75,80,83,61
Antonio Rüdiger,Germany,Real Madrid,CB,30,85,54,71,64,84,40
Rodrygo,Brazil,Real Madrid,RW,22,85,81,79,86,31,87
John Stones,England,Manchester City,CB,29,85,52,75,75,85,54
Diogo Jota,Portugal,Liverpool,CF,26,85,82,75,85,57,85
Kieran Trippier,England,Newcastle Utd,RB,33,85,65,86,76,82,54
Raphaël Varane,France,Manchester Utd,CB,30,85,49,64,61,86,46
Florian Wirtz,Germany,Leverkusen,CAM,20,85,76,83,87,52,78
Thiago,Spain,Liverpool,CM,32,84,72,86,89,71,68
Ismaël Bennacer,Algeria,Milan,CDM,25,84,72,81,86,79,67
Julian Brandt,Germany,Borussia Dortmund,CAM,27,84,80,84,86,51,80
Yannick Carrasco,Belgium,Al Shabab,LM,30,84,81,80,88,59,81
Federico Chiesa,Italy,Juventus,LM,25,84,82,76,89,53,81
Thiago Silva,Brazil,Chelsea,CB,39,84,54,74,67,87,40
Rúben Neves,Portugal,Al Hilal,CDM,26,84,75,86,74,76,66
Rodrigo Javier De Paul,Argentina,Atlético de Madrid,CM,29,84,77,83,82,75,76
Memphis Depay,Holland,Atlético de Madrid,CF,29,84,82,81,86,30,82
Moussa Diaby,France,Aston Villa,RM,24,84,73,75,87,42,80
Raphinha,Brazil,FC Barcelona,RW,26,84,79,78,87,53,78
Luis Díaz,Colombia,Liverpool,LW,26,84,81,75,89,34,81
Gabriel,Brazil,Arsenal,CB,25,84,41,62,52,85,37
Gabriel Jesus,Brazil,Arsenal,ST,26,84,82,75,88,40,83
Matthias Ginter,Germany,SC Freiburg,CB,29,84,59,71,61,85,55
Serge Gnabry,Germany,FC Bayern München,RM,28,84,84,78,85,43,85
Grimaldo,Spain,Leverkusen,LWB,28,84,69,83,84,76,59
Bruno Guimarães,Brazil,Newcastle Utd,CM,25,84,74,81,85,80,72
Achraf Hakimi,Morocco,Paris SG,RB,24,84,75,80,79,75,75
Fabinho,Brazil,Al Ittihad,CDM,29,84,69,78,78,82,63
Lucas Hernández,France,Paris SG,CB,27,84,54,70,65,84,53
Pierre-Emile Højbjerg,Denmark,Spurs,CDM,28,84,73,78,79,81,68
Reece James,England,Chelsea,RB,23,84,72,83,83,82,69
Kim Min Jae,Korea Republic,FC Bayern München,CB,26,84,33,58,57,85,23
Randal Kolo Muani,France,Paris SG,ST,24,84,78,73,88,38,82
Kalidou Koulibaly,Senegal,Al Hilal,CB,32,84,48,63,70,84,43
Marcos Llorente,Spain,Atlético de Madrid,RM,28,84,78,79,80,78,79
Stanislav Lobotka,Slovakia,Napoli FC,CM,28,84,70,81,82,77,70
Romelu Lukaku,Belgium,Roma FC,ST,30,84,84,74,82,38,86
James Maddison,England,Spurs,CAM,26,84,81,86,86,54,80
Gabriel Martinelli,Brazil,Arsenal,LW,22,84,78,76,89,46,83
Lisandro Martínez,Argentina,Manchester Utd,CB,25,84,59,78,76,85,52
Mikel Merino,Spain,Real Sociedad,CM,27,84,78,82,83,83,79
Thomas Müller,Germany,FC Bayern München,CAM,34,84,82,83,77,55,84
Adrien Rabiot,France,Juventus,CM,28,84,76,80,80,82,72
Koke,Spain,Atlético de Madrid,CDM,31,84,72,85,77,79,69
Luis Alberto,Spain,Latium,CM,31,84,77,85,83,62,75
Leroy Sané,Germany,FC Bayern München,RM,27,84,81,80,86,38,80
Bremer,Brazil,Juventus,CB,26,84,50,56,62,85,49
Milan Škriniar,Slovakia,Paris SG,CB,28,84,41,57,64,86,42
Chris Smalling,England,Roma FC,CB,33,84,47,58,59,87,54
Niklas Süle,Germany,Borussia Dortmund,CB,28,84,51,68,60,85,36
Aurélien Tchouaméni,France,Real Madrid,CDM,23,84,69,79,78,81,65
Fikayo Tomori,England,Milan,CB,25,84,40,59,61,86,33
Kyle Walker,England,Manchester City,RB,33,84,63,77,79,79,51
Francesco Acerbi,Italy,Inter,CB,35,83,50,64,65,86,37
Jordi Alba,Spain,Inter Miami CF,LB,34,83,70,82,79,76,73
Marco Asensio,Spain,Paris SG,RW,27,83,81,81,83,43,77
Wissam Ben Yedder,France,AS Monaco,ST,33,83,84,78,86,39,87
Sven Botman,Holland,Newcastle Utd,CB,23,83,37,63,63,84,24
Marcelo Brozović,Croatia,Al Nassr,CDM,30,83,74,81,78,80,69
Sergio Busquets,Spain,Inter Miami CF,CDM,35,83,62,79,80,81,67
Emre Can,Germany,Borussia Dortmund,CDM,29,83,78,77,81,82,74
Andreas Christensen,Denmark,FC Barcelona,CB,27,83,32,68,67,85,36
Sergi Darder,Spain,RCD Mallorca,CM,29,83,76,82,84,74,74
Alphonso Davies,Canada,FC Bayern München,LB,22,83,66,78,85,74,64
Ángel Di María,Argentina,SL Benfica,CF,35,83,78,86,90,48,74
Edin Džeko,Bosnia and Herzegovina,Fenerbahçe,ST,37,83,84,72,77,45,87
Christian Eriksen,Denmark,Manchester Utd,CM,31,83,77,89,77,51,72
Nabil Fekir,France,Real Betis,CAM,30,83,81,81,87,39,80
Enzo Fernández,Argentina,Chelsea,CM,22,83,73,81,78,75,66
Nacho Fernández,Spain,Real Madrid,CB,33,83,37,69,64,82,32
Rafa,Portugal,SL Benfica,CF,30,83,77,77,86,50,79
Jorginho,Italy,Arsenal,CDM,31,83,67,84,79,74,65
Pau Torres,Spain,Aston Villa,CB,26,83,38,68,64,84,28
Jeremie Frimpong,Holland,Leverkusen,RWB,22,83,56,75,85,74,62
Cody Gakpo,Holland,Liverpool,CF,24,83,82,78,86,42,83
José María Giménez,Uruguay,Atlético de Madrid,CB,28,83,46,58,55,85,37
Sébastien Haller,Côte d'Ivoire,Borussia Dortmund,ST,29,83,81,63,74,52,85
Jonas Hofmann,Germany,Leverkusen,CAM,31,83,79,83,82,64,84
Mats Hummels,Germany,Borussia Dortmund,CB,34,83,58,76,67,86,55
Borja Iglesias,Spain,Real Betis,ST,30,83,84,66,76,40,86
Filip Kostić,Serbia,Juventus,LM,30,83,76,82,84,70,72
Alexandre Lacazette,France,OL,ST,32,83,84,77,83,44,86
Konrad Laimer,Austria,FC Bayern München,CDM,26,83,69,77,77,81,69
Gianluca Mancini,Italy,Roma FC,CB,27,83,45,54,55,83,48
Morata,Spain,Atlético de Madrid,ST,30,83,82,72,79,31,85
Gerard Moreno,Spain,Villarreal CF,ST,31,83,85,77,83,46,88
Dani Olmo,Spain,RB Leipzig,CAM,25,83,76,82,87,50,74
Willi Orban,Hungary,RB Leipzig,CB,30,83,36,56,52,85,38
Oyarzabal,Spain,Real Sociedad,LM,26,83,83,80,84,41,85
Gavi,Spain,FC Barcelona,CM,19,83,66,78,86,68,71
Palhinha,Portugal,Fulham,CDM,28,83,67,71,77,84,64
Benjamin Pavard,France,Inter,CB,27,83,62,73,68,85,49
Lorenzo Pellegrini,Italy,Roma FC,CAM,27,83,76,83,80,74,75
Marco Reus,Germany,Borussia Dortmund,CAM,34,83,83,83,85,53,84
Guido Rodríguez,Argentina,Real Betis,CDM,28,83,58,72,72,85,43
Alessio Romagnoli,Italy,Latium,CB,28,83,40,56,68,85,30
William Saliba,France,Arsenal,CB,22,83,39,69,72,84,35
Patrik Schick,Czech Republic,Leverkusen,ST,27,83,80,71,81,37,82
Nico Schlotterbeck,Germany,Borussia Dortmund,CB,23,83,58,67,73,85,51
Luke Shaw,England,Manchester Utd,LB,28,83,57,82,78,81,46
Raheem Sterling,England,Chelsea,LW,28,83,78,76,86,45,79
Dušan Vlahović,Serbia,Juventus,ST,23,83,85,66,81,29,88
André-Franck Zambo Anguissa,Cameroon,Napoli FC,CDM,27,83,68,72,82,81,66
Piotr Zieliński,Poland,Napoli FC,CM,29,83,77,81,87,71,75
Manuel Akanji,Switzerland,Manchester City,CB,28,82,48,70,71,83,38
Robert Andrich,Germany,Leverkusen,CDM,29,82,76,76,74,81,74
Joelinton,Brazil,Newcastle Utd,CM,27,82,71,76,84,81,73
Roberto Firmino,Brazil,Al Ahli,CF,32,82,77,79,87,58,76
Rodrigo Bentancur,Uruguay,Spurs,CM,26,82,67,81,85,79,66
Eduardo Camavinga,France,Real Madrid,CDM,20,82,66,80,80,76,62
Carvajal,Spain,Real Madrid,RB,31,82,54,76,78,77,51
Ángel Correa,Argentina,Atlético de Madrid,ST,28,82,84,77,87,50,85
Ricardo Horta,Portugal,SC Braga,CAM,29,82,83,80,81,43,83
Otávio,Portugal,Al Nassr,RM,28,82,70,81,86,66,69
Stefan de Vrij,Holland,Inter,CB,31,82,41,64,66,84,25
Boulaye Dia,Senegal,Salernitana,ST,26,82,81,62,83,27,86
Federico Dimarco,Italy,Inter,LWB,25,82,71,80,78,74,69
Youssef En-Nesyri,Morocco,Sevilla FC,ST,26,82,82,63,78,36,84
Seko Fofana,Côte d'Ivoire,Al Nassr,CM,28,82,77,76,81,73,74
Javi Galán,Spain,Atlético de Madrid,LB,28,82,56,77,85,79,50
David García,Spain,CA Osasuna,CB,29,82,37,66,60,83,35
Gayà,Spain,Valencia CF,LB,28,82,61,77,77,78,61
Olivier Giroud,France,Milan,ST,37,82,83,74,69,42,87
Mario Götze,Germany,Frankfurt,CAM,31,82,75,83,84,55,75
Vincenzo Grifo,Italy,SC Freiburg,LM,30,82,80,83,82,40,78
Raphaël Guerreiro,Portugal,FC Bayern München,LB,29,82,78,85,87,76,78
Joško Gvardiol,Croatia,Manchester City,CB,21,82,54,69,75,82,42
Kai Havertz,Germany,Arsenal,CAM,24,82,79,79,84,45,81
Mario Hermoso,Spain,Atlético de Madrid,CB,28,82,49,74,67,82,42
Franck Yannick Kessié,Côte d'Ivoire,Al Ahli,CDM,26,82,76,74,78,81,73
Presnel Kimpembe,France,Paris SG,CB,28,82,43,68,63,81,33
Orkun Kökçü,Turkey,SL Benfica,CM,22,82,76,83,78,69,72
Mateo Kovačić,Croatia,Manchester City,CM,29,82,69,82,87,71,61
Robin Le Normand,Spain,Real Sociedad,CB,26,82,26,54,52,84,19
Thomas Lemar,France,Atlético de Madrid,CM,27,82,78,83,87,67,77
Manuel Locatelli,Italy,Juventus,CDM,25,82,70,80,79,79,62
Alexis Mac Allister,Argentina,Liverpool,CM,24,82,79,82,84,70,79
Donyell Malen,Holland,Borussia Dortmund,RM,24,82,80,73,86,35,82
Iñigo Martínez,Spain,FC Barcelona,CB,32,82,56,67,48,82,42
Joselu,Spain,Real Madrid,ST,33,82,84,69,75,33,87
Noussair Mazraoui,Morocco,FC Bayern München,RB,25,82,66,77,83,77,69
Ferland Mendy,France,Real Madrid,LB,28,82,64,76,76,77,63
Nahuel Molina,Argentina,Atlético de Madrid,RB,25,82,67,76,77,78,67
João Mário,Portugal,SL Benfica,RM,30,82,79,81,83,69,82
Darwin Núñez,Uruguay,Liverpool,ST,24,82,81,71,76,43,81
Loïs Openda,Belgium,RB Leipzig,ST,23,82,79,68,80,31,83
Nicolás Otamendi,Argentina,SL Benfica,CB,35,82,57,64,51,83,54
Isi Palazón,Spain,Rayo Vallecano,RM,28,82,79,79,83,39,82
Pedro Gonçalves,Portugal,Sporting CP,LW,25,82,82,81,83,58,84
Fernando,Brazil,Sevilla FC,CDM,36,82,62,74,70,82,54
Cristian Romero,Argentina,Spurs,CB,25,82,46,59,60,84,48
Jadon Sancho,England,Manchester Utd,LW,23,82,70,80,89,33,76
Stefan Savić,Montenegro,Atlético de Madrid,CB,32,82,35,57,47,85,34
Fabian Schär,Switzerland,Newcastle Utd,CB,31,82,68,75,73,84,60
Dominik Szoboszlai,Hungary,Liverpool,CAM,22,82,82,84,83,34,77
Dušan Tadić,Serbia,Fenerbahçe,LW,34,82,80,85,83,43,82
Mehdi Taremi,Iran,FC Porto,ST,31,82,81,76,81,38,84
Nuno Mendes,Portugal,Paris SG,LB,21,82,58,75,78,77,45
Youri Tielemans,Belgium,Aston Villa,CM,26,82,79,85,78,69,74
Lucas Torreira,Uruguay,Galatasaray,CDM,27,82,70,77,77,79,68
Ferran Torres,Spain,FC Barcelona,LW,23,82,79,78,84,35,81
Viktor Tsygankov,Ukraine,Girona FC,RM,25,82,78,79,82,46,82
Enes Ünal,Turkey,Getafe CF,ST,26,82,84,70,83,40,87
Dayot Upamecano,France,FC Bayern München,CB,24,82,45,63,71,81,39
Timo Werner,Germany,RB Leipzig,ST,27,82,80,70,82,35,78
Callum Wilson,England,Newcastle Utd,ST,31,82,82,67,77,42,86
Granit Xhaka,Switzerland,Leverkusen,CM,31,82,74,82,72,75,67
Mattia Zaccagni,Italy,Latium,LW,28,82,77,74,89,57,79
Nathan Aké,Holland,Manchester City,CB,28,81,53,72,73,82,48
Ali Al Musrati,Libya,SC Braga,CDM,27,81,66,71,71,80,61
Raúl Albiol,Spain,Villarreal CF,CB,38,81,41,62,59,85,27
Toby Alderweireld,Belgium,Royal Antwerp FC,CB,34,81,61,74,62,83,49
Miguel Almirón,Paraguay,Newcastle Utd,RW,29,81,77,75,83,56,79
Edson Álvarez,Mexico,West Ham,CDM,25,81,58,68,68,82,57
Yeray,Spain,Athletic Club,CB,28,81,49,68,57,83,42
Maximilian Arnold,Germany,VfL Wolfsburg,CDM,29,81,79,79,78,76,75
Balde,Spain,FC Barcelona,LB,19,81,48,73,77,75,51
Steven Berghuis,Holland,Ajax,CAM,31,81,82,82,80,40,82
Benjamin Bourigeaud,France,Stade Rennais FC,CM,29,81,77,82,83,67,76
Davide Calabria,Italy,Milan,RB,26,81,57,71,74,79,48
Etienne Capoue,France,Villarreal CF,CM,35,81,75,78,79,79,75
Ben Chilwell,England,Chelsea,LB,26,81,60,78,79,77,58
Samuel Chukwueze,Nigeria,Milan,RW,24,81,75,74,87,36,77
Jonathan Clauss,France,OM,RWB,31,81,69,76,77,70,68
Sebastián Coates,Uruguay,Sporting CP,CB,33,81,49,55,64,82,55
Lucas Paquetá,Brazil,West Ham,CAM,26,81,77,79,86,69,78
Bryan Cristante,Italy,Roma FC,CDM,28,81,73,78,76,78,68
Danilo,Brazil,Juventus,CB,32,81,67,74,73,83,59
Arnaut Danjuma,Holland,Everton,ST,26,81,81,76,84,44,83
Jonathan David,Canada,LOSC Lille,ST,23,81,81,71,79,34,84
Fred,Brazil,Fenerbahçe,CM,30,81,69,79,78,76,66
Denzel Dumfries,Holland,Inter,RWB,27,81,63,70,72,78,67
Lewis Dunk,England,Brighton,CB,31,81,51,66,64,82,42
João Félix,Portugal,FC Barcelona,CF,23,81,79,78,86,40,78
Beto,Portugal,Everton,ST,25,81,79,59,77,25,83
Nicolás González,Argentina,Fiorentina,RW,25,81,76,73,85,45,80
Danilo Pereira,Portugal,Paris SG,CDM,32,81,63,70,73,80,57
Lorenzo Insigne,Italy,Toronto FC,LW,32,81,78,81,86,36,77
Alexander Isak,Sweden,Newcastle Utd,ST,24,81,81,72,86,39,83
Daichi Kamada,Japan,Latium,CAM,27,81,73,80,83,54,75
Simon Kjær,Denmark,Milan,CB,34,81,54,64,52,83,55
Ibrahima Konaté,France,Liverpool,CB,24,81,34,57,68,82,29
Geoffrey Kondogbia,Central African Republic,OM,CM,30,81,75,76,75,81,69
Andrej Kramarić,Croatia,TSG Hoffenheim,CF,32,81,81,76,82,32,80
Dejan Kulusevski,Sweden,Spurs,RW,23,81,77,80,86,56,76
Gaëtan Laborde,France,OGC Nice,ST,29,81,81,76,79,40,83
Pepe,Portugal,FC Porto,CB,40,81,51,60,58,81,46
Giovani Lo Celso,Argentina,Spurs,CAM,27,81,75,83,85,68,73
Ademola Lookman,Nigeria,Bergamo Calcio,ST,25,81,81,69,86,30,86
Hirving Lozano,Mexico,PSV,RW,28,81,76,72,83,41,77
Reinildo,Mozambique,Atlético de Madrid,LB,29,81,55,68,74,80,57
Antony,Brazil,Manchester Utd,RW,23,81,76,74,86,46,76
Nemanja Matić,Serbia,Stade Rennais FC,CDM,35,81,67,77,79,79,59
Brais Méndez,Spain,Real Sociedad,CM,26,81,80,82,83,65,83
Dries Mertens,Belgium,Galatasaray,CF,36,81,80,80,82,40,80
Arkadiusz Milik,Poland,Juventus,ST,29,81,83,72,77,40,84
Henrikh Mkhitaryan,Armenia,Inter,CAM,34,81,79,79,82,56,78
Mason Mount,England,Manchester Utd,CAM,24,81,79,82,81,56,78
Muniain,Spain,Athletic Club,CAM,30,81,74,81,84,51,75
Felipe Anderson,Brazil,Latium,RW,30,81,78,77,85,63,79
Matteo Politano,Italy,Napoli FC,RW,30,81,77,78,83,42,76
Pedro Porro,Spain,Spurs,RB,24,81,73,77,81,74,68
Ivan Rakitić,Croatia,Sevilla FC,CM,35,81,79,84,80,74,76
Amir Rrahmani,Kosovo,Napoli FC,CB,29,81,51,58,59,83,43
Fabián Ruiz,Spain,Paris SG,CM,27,81,78,79,81,74,78
Allan Saint-Maximin,France,Al Ahli,LM,26,81,73,73,92,29,72
Sancet,Spain,Athletic Club,CAM,23,81,77,77,82,61,77
Ibrahim Sangaré,Côte d'Ivoire,Nott'm Forest,CDM,25,81,66,74,76,81,61
Diego Carlos,Brazil,Aston Villa,CB,30,81,47,63,65,81,32
Xaver Schlager,Austria,RB Leipzig,CDM,26,81,70,74,78,75,66
William Carvalho,Portugal,Real Betis,CDM,31,81,68,78,82,76,66
Malcom,Brazil,Al Hilal,RM,26,81,79,78,84,28,77
Mário Rui,Portugal,Napoli FC,LB,32,81,57,77,78,76,42
Ellyes Skhiri,Tunisia,Frankfurt,CDM,28,81,73,74,76,80,76
Anderson Talisca,Brazil,Al Nassr,CF,29,81,84,76,81,52,83
Jonathan Tah,Germany,Leverkusen,CB,27,81,37,59,60,81,32
Edmond Tapsoba,Burkina Faso,Leverkusen,CB,24,81,54,65,66,82,57
Martin Terrier,France,Stade Rennais FC,LM,26,81,82,75,80,36,85
Leandro Trossard,Belgium,Arsenal,CF,28,81,80,78,83,30,81
Manuel Ugarte,Uruguay,Paris SG,CDM,22,81,64,73,79,77,65
Lucas Vázquez,Spain,Real Madrid,RB,32,81,73,80,81,73,72
Iñaki Williams,Ghana,Athletic Club,RM,29,81,78,71,80,43,77
Wilfried Zaha,Côte d'Ivoire,Galatasaray,LW,30,81,78,72,87,37,80
Duván Zapata,Colombia,Torino,ST,32,81,80,63,79,35,83
Tammy Abraham,England,Roma FC,ST,26,80,76,66,80,36,77
Karim Adeyemi,Germany,Borussia Dortmund,LM,21,80,77,71,82,34,80
Isco,Spain,Real Betis,CAM,31,80,72,80,84,59,72
Julián Álvarez,Argentina,Manchester City,ST,23,80,81,76,82,55,82
Sofyan Amrabat,Morocco,Manchester Utd,CDM,27,80,71,77,78,74,70
Pepê,Brazil,FC Porto,LM,26,80,68,71,85,62,76
Mauro Arambarri,Uruguay,Getafe CF,CDM,28,80,65,74,76,79,55
Marko Arnautović,Austria,Inter,ST,34,80,79,78,77,44,79
Pierre-Emerick Aubameyang,Gabon,OM,ST,34,80,81,72,77,35,83
Ezequiel Ávila,Argentina,CA Osasuna,ST,29,80,81,65,79,45,81
Harvey Barnes,England,Newcastle Utd,LW,25,80,77,75,81,43,78
Fran Beltrán,Spain,RC Celta,CDM,24,80,56,78,77,78,53
Ramy Bensebaini,Algeria,Borussia Dortmund,LB,28,80,70,72,79,79,73
Álex Berenguer,Spain,Athletic Club,LM,28,80,75,76,82,64,77
Cristiano Biraghi,Italy,Fiorentina,LB,31,80,69,78,76,76,58
Leonardo Bonucci,Italy,Union Berlin,CB,36,80,59,70,69,82,50
Emiliano Buendía,Argentina,Aston Villa,RM,26,80,74,81,83,66,74
Moisés Caicedo,Ecuador,Chelsea,CDM,21,80,63,72,73,77,58
Giorgio Chiellini,Italy,LAFC,CB,39,80,46,60,57,81,33
Francis Coquelin,France,Villarreal CF,CM,32,80,68,78,80,78,65
Juan Cuadrado,Colombia,Inter,RM,35,80,73,78,86,74,66
Diogo Dalot,Portugal,Manchester Utd,RB,24,80,61,76,80,75,52
Kevin Danso,Austria,RC Lens,CB,25,80,32,55,59,79,26
Matteo Darmian,Italy,Inter,CB,33,80,59,73,72,83,55
Richarlison,Brazil,Spurs,ST,26,80,79,72,84,53,81
De Marcos,Spain,Athletic Club,RB,34,80,64,75,72,77,64
Marten de Roon,Holland,Bergamo Calcio,CDM,32,80,70,71,71,82,63
Deulofeu,Spain,Udinese,CF,29,80,79,76,87,30,79
Brahim,Spain,Real Madrid,CAM,24,80,71,77,83,30,73
Marcus Edwards,England,Sporting CP,RW,24,80,73,71,86,33,73
Eljif Elmas,North Macedonia,Napoli FC,CAM,24,80,73,76,86,66,73
Aritz Elustondo,Spain,Real Sociedad,CB,29,80,39,64,48,80,35
Wataru Endo,Japan,Liverpool,CM,30,80,68,73,80,79,67
Pervis Estupiñán,Ecuador,Brighton,LB,25,80,47,71,77,77,48
Suso,Spain,Sevilla FC,RW,29,80,76,80,84,32,74
Youssouf Fofana,France,AS Monaco,CDM,24,80,67,74,77,78,64
Emil Forsberg,Sweden,RB Leipzig,CAM,31,80,73,82,82,36,74
Juan Foyth,Argentina,Villarreal CF,RB,25,80,46,71,69,81,43
Davide Frattesi,Italy,Inter,CM,24,80,71,78,80,68,73
Niclas Füllkrug,Germany,Borussia Dortmund,ST,30,80,83,70,74,40,84
Aleix García,Spain,Girona FC,CM,26,80,74,81,80,71,74
Nuno Santos,Portugal,Sporting CP,LW,28,80,81,76,81,67,79
Nemanja Gudelj,Serbia,Sevilla FC,CB,31,80,73,78,66,79,62
Dávid Hancko,Slovakia,Feyenoord,CB,25,80,64,72,73,80,60
Jordan Henderson,England,Ettifaq FC,CM,33,80,73,80,78,76,71
Ibañez,Brazil,Al Ahli,CB,24,80,32,45,45,82,27
Mauro Icardi,Argentina,Galatasaray,ST,30,80,81,69,71,40,85
Joan Jordán,Spain,Sevilla FC,CM,29,80,76,79,79,70,76
Boubacar Kamara,France,Aston Villa,CDM,23,80,54,72,71,80,47
Teun Koopmeiners,Holland,Bergamo Calcio,CM,25,80,75,80,75,76,70
Takefusa Kubo,Japan,Real Sociedad,RW,22,80,75,76,83,40,80
Erik Lamela,Argentina,Sevilla FC,RW,31,80,77,78,85,54,74
Armand Laurienté,France,Sassuolo,LW,24,80,76,75,85,35,74
Victor Lindelöf,Sweden,Manchester Utd,CB,29,80,51,73,70,81,42
Vitinha,Portugal,Paris SG,CM,23,80,68,79,85,70,66
Anthony Martial,France,Manchester Utd,ST,27,80,78,73,87,35,79
Arnau Martínez,Spain,Girona FC,RB,20,80,50,72,76,76,50
Adam Marušić,Montenegro,Latium,LB,30,80,66,67,75,76,56
Joel Matip,Cameroon,Liverpool,CB,32,80,46,67,73,81,36
Chancel Mbemba,Congo DR,OM,CB,29,80,55,65,65,80,55
