Name,Club,Position,Overall,Shooting,Passing,Dribbling,Defending,Finishing
N'Golo Kanté,Al Ittihad,CDM,86,65,73,78,85,64
João Cancelo,FC Barcelona,LB,86,73,85,85,80,69
Cristiano Ronaldo,Al Nassr,ST,86,88,75,77,34,87
Trent Alexander-Arnold,Liverpool,RB,86,69,90,78,80,62
Jack Grealish,Manchester City,LW,85,76,84,89,53,76
Marcos Acuña,Sevilla FC,LB,85,74,83,82,81,66
David Alaba,Real Madrid,CB,85,71,83,77,85,63
Iago Aspas,RC Celta,ST,85,85,79,87,35,90
Alessandro Bastoni,Inter,CB,85,35,72,73,86,26
Domenico Berardi,Sassuolo,RW,85,83,81,86,36,85
Hakan Çalhanoğlu,Inter,CM,85,80,86,85,70,75
Kingsley Coman,FC Bayern München,LM,85,76,79,88,30,75
Giovanni Di Lorenzo,Napoli FC,RB,85,67,75,78,82,66
Phil Foden,Manchester City,LW,85,79,82,88,57,81
Leon Goretzka,FC Bayern München,CM,85,81,81,84,80,81
Theo Hernández,Milan,LB,85,71,76,83,78,67
Ciro Immobile,Latium,ST,85,87,68,77,39,91
Jules Koundé,FC Barcelona,CB,85,45,68,72,86,47
Aymeric Laporte,Al Nassr,CB,85,50,73,64,86,45
Thomas Partey,Arsenal,CDM,85,71,82,84,81,66
Marcus Rashford,Manchester Utd,LW,85,86,78,86,42,86
Declan Rice,Arsenal,CDM,85,65,75,80,83,61
Antonio Rüdiger,Real Madrid,CB,85,54,71,64,84,40
Rodrygo,Real Madrid,RW,85,81,79,86,31,87
John Stones,Manchester City,CB,85,52,75,75,85,54
Diogo Jota,Liverpool,CF,85,82,75,85,57,85
Kieran Trippier,Newcastle Utd,RB,85,65,86,76,82,54
Raphaël Varane,Manchester Utd,CB,85,49,64,61,86,46
Florian Wirtz,Leverkusen,CAM,85,76,83,87,52,78
Thiago,Liverpool,CM,84,72,86,89,71,68
Ismaël Bennacer,Milan,CDM,84,72,81,86,79,67
Julian Brandt,Borussia Dortmund,CAM,84,80,84,86,51,80
Yannick Carrasco,Al Shabab,LM,84,81,80,88,59,81
Federico Chiesa,Juventus,LM,84,82,76,89,53,81
Thiago Silva,Chelsea,CB,84,54,74,67,87,40
Rúben Neves,Al Hilal,CDM,84,75,86,74,76,66
Rodrigo Javier De Paul,Atlético de Madrid,CM,84,77,83,82,75,76
Memphis Depay,Atlético de Madrid,CF,84,82,81,86,30,82
Moussa Diaby,Aston Villa,RM,84,73,75,87,42,80
Raphinha,FC Barcelona,RW,84,79,78,87,53,78
Luis Díaz,Liverpool,LW,84,81,75,89,34,81
Gabriel,Arsenal,CB,84,41,62,52,85,37
Gabriel Jesus,Arsenal,ST,84,82,75,88,40,83
Matthias Ginter,SC Freiburg,CB,84,59,71,61,85,55
Serge Gnabry,FC Bayern München,RM,84,84,78,85,43,85
Grimaldo,Leverkusen,LWB,84,69,83,84,76,59
Bruno Guimarães,Newcastle Utd,CM,84,74,81,85,80,72
Achraf Hakimi,Paris SG,RB,84,75,80,79,75,75
Fabinho,Al Ittihad,CDM,84,69,78,78,82,63
Lucas Hernández,Paris SG,CB,84,54,70,65,84,53
Pierre-Emile Højbjerg,Spurs,CDM,84,73,78,79,81,68
Reece James,Chelsea,RB,84,72,83,83,82,69
Kim Min Jae,FC Bayern München,CB,84,33,58,57,85,23
Randal Kolo Muani,Paris SG,ST,84,78,73,88,38,82
Kalidou Koulibaly,Al Hilal,CB,84,48,63,70,84,43
Marcos Llorente,Atlético de Madrid,RM,84,78,79,80,78,79
Stanislav Lobotka,Napoli FC,CM,84,70,81,82,77,70
Romelu Lukaku,Roma FC,ST,84,84,74,82,38,86
James Maddison,Spurs,CAM,84,81,86,86,54,80
Gabriel Martinelli,Arsenal,LW,84,78,76,89,46,83
Lisandro Martínez,Manchester Utd,CB,84,59,78,76,85,52
Mikel Merino,Real Sociedad,CM,84,78,82,83,83,79
Thomas Müller,FC Bayern München,CAM,84,82,83,77,55,84
Adrien Rabiot,Juventus,CM,84,76,80,80,82,72
Koke,Atlético de Madrid,CDM,84,72,85,77,79,69
Luis Alberto,Latium,CM,84,77,85,83,62,75
Leroy Sané,FC Bayern München,RM,84,81,80,86,38,80
Bremer,Juventus,CB,84,50,56,62,85,49
Milan Škriniar,Paris SG,CB,84,41,57,64,86,42
Chris Smalling,Roma FC,CB,84,47,58,59,87,54
Niklas Süle,Borussia Dortmund,CB,84,51,68,60,85,36
Aurélien Tchouaméni,Real Madrid,CDM,84,69,79,78,81,65
Fikayo Tomori,Milan,CB,84,40,59,61,86,33
Kyle Walker,Manchester City,RB,84,63,77,79,79,51
Francesco Acerbi,Inter,CB,83,50,64,65,86,37
Jordi Alba,Inter Miami CF,LB,83,70,82,79,76,73
Marco Asensio,Paris SG,RW,83,81,81,83,43,77
Wissam Ben Yedder,AS Monaco,ST,83,84,78,86,39,87
Sven Botman,Newcastle Utd,CB,83,37,63,63,84,24
Marcelo Brozović,Al Nassr,CDM,83,74,81,78,80,69
Sergio Busquets,Inter Miami CF,CDM,83,62,79,80,81,67
Emre Can,Borussia Dortmund,CDM,83,78,77,81,82,74
Andreas Christensen,FC Barcelona,CB,83,32,68,67,85,36
Sergi Darder,RCD Mallorca,CM,83,76,82,84,74,74
Alphonso Davies,FC Bayern München,LB,83,66,78,85,74,64
Ángel Di María,SL Benfica,CF,83,78,86,90,48,74
Edin Džeko,Fenerbahçe,ST,83,84,72,77,45,87
Christian Eriksen,Manchester Utd,CM,83,77,89,77,51,72
Nabil Fekir,Real Betis,CAM,83,81,81,87,39,80
Enzo Fernández,Chelsea,CM,83,73,81,78,75,66
Nacho Fernández,Real Madrid,CB,83,37,69,64,82,32
Rafa,SL Benfica,CF,83,77,77,86,50,79
Jorginho,Arsenal,CDM,83,67,84,79,74,65
Pau Torres,Aston Villa,CB,83,38,68,64,84,28
Jeremie Frimpong,Leverkusen,RWB,83,56,75,85,74,62
Cody Gakpo,Liverpool,CF,83,82,78,86,42,83
José María Giménez,Atlético de Madrid,CB,83,46,58,55,85,37
Sébastien Haller,Borussia Dortmund,ST,83,81,63,74,52,85
Jonas Hofmann,Leverkusen,CAM,83,79,83,82,64,84
Mats Hummels,Borussia Dortmund,CB,83,58,76,67,86,55
Borja Iglesias,Real Betis,ST,83,84,66,76,40,86
Filip Kostić,Juventus,LM,83,76,82,84,70,72
Alexandre Lacazette,OL,ST,83,84,77,83,44,86
Konrad Laimer,FC Bayern München,CDM,83,69,77,77,81,69
Gianluca Mancini,Roma FC,CB,83,45,54,55,83,48
Morata,Atlético de Madrid,ST,83,82,72,79,31,85
Gerard Moreno,Villarreal CF,ST,83,85,77,83,46,88
Dani Olmo,RB Leipzig,CAM,83,76,82,87,50,74
Willi Orban,RB Leipzig,CB,83,36,56,52,85,38
Oyarzabal,Real Sociedad,LM,83,83,80,84,41,85
Gavi,FC Barcelona,CM,83,66,78,86,68,71
Palhinha,Fulham,CDM,83,67,71,77,84,64
Benjamin Pavard,Inter,CB,83,62,73,68,85,49
Lorenzo Pellegrini,Roma FC,CAM,83,76,83,80,74,75
Marco Reus,Borussia Dortmund,CAM,83,83,83,85,53,84
Guido Rodríguez,Real Betis,CDM,83,58,72,72,85,43
Alessio Romagnoli,Latium,CB,83,40,56,68,85,30
William Saliba,Arsenal,CB,83,39,69,72,84,35
Patrik Schick,Leverkusen,ST,83,80,71,81,37,82
Nico Schlotterbeck,Borussia Dortmund,CB,83,58,67,73,85,51
Luke Shaw,Manchester Utd,LB,83,57,82,78,81,46
Raheem Sterling,Chelsea,LW,83,78,76,86,45,79
Dušan Vlahović,Juventus,ST,83,85,66,81,29,88
André-Franck Zambo Anguissa,Napoli FC,CDM,83,68,72,82,81,66
Piotr Zieliński,Napoli FC,CM,83,77,81,87,71,75
Manuel Akanji,Manchester City,CB,82,48,70,71,83,38
Robert Andrich,Leverkusen,CDM,82,76,76,74,81,74
Joelinton,Newcastle Utd,CM,82,71,76,84,81,73
Roberto Firmino,Al Ahli,CF,82,77,79,87,58,76
Rodrigo Bentancur,Spurs,CM,82,67,81,85,79,66
Eduardo Camavinga,Real Madrid,CDM,82,66,80,80,76,62
Carvajal,Real Madrid,RB,82,54,76,78,77,51
Ángel Correa,Atlético de Madrid,ST,82,84,77,87,50,85
Ricardo Horta,SC Braga,CAM,82,83,80,81,43,83
Otávio,Al Nassr,RM,82,70,81,86,66,69
Stefan de Vrij,Inter,CB,82,41,64,66,84,25
Boulaye Dia,Salernitana,ST,82,81,62,83,27,86
Federico Dimarco,Inter,LWB,82,71,80,78,74,69
Youssef En-Nesyri,Sevilla FC,ST,82,82,63,78,36,84
Seko Fofana,Al Nassr,CM,82,77,76,81,73,74
Javi Galán,Atlético de Madrid,LB,82,56,77,85,79,50
David García,CA Osasuna,CB,82,37,66,60,83,35
Gayà,Valencia CF,LB,82,61,77,77,78,61
Olivier Giroud,Milan,ST,82,83,74,69,42,87
Mario Götze,Frankfurt,CAM,82,75,83,84,55,75
Vincenzo Grifo,SC Freiburg,LM,82,80,83,82,40,78
Raphaël Guerreiro,FC Bayern München,LB,82,78,85,87,76,78
Joško Gvardiol,Manchester City,CB,82,54,69,75,82,42
Kai Havertz,Arsenal,CAM,82,79,79,84,45,81
Mario Hermoso,Atlético de Madrid,CB,82,49,74,67,82,42
Franck Yannick Kessié,Al Ahli,CDM,82,76,74,78,81,73
Presnel Kimpembe,Paris SG,CB,82,43,68,63,81,33
Orkun Kökçü,SL Benfica,CM,82,76,83,78,69,72
Mateo Kovačić,Manchester City,CM,82,69,82,87,71,61
Robin Le Normand,Real Sociedad,CB,82,26,54,52,84,19
Thomas Lemar,Atlético de Madrid,CM,82,78,83,87,67,77
Manuel Locatelli,Juventus,CDM,82,70,80,79,79,62
Alexis Mac Allister,Liverpool,CM,82,79,82,84,70,79
Donyell Malen,Borussia Dortmund,RM,82,80,73,86,35,82
Iñigo Martínez,FC Barcelona,CB,82,56,67,48,82,42
Joselu,Real Madrid,ST,82,84,69,75,33,87
Noussair Mazraoui,FC Bayern München,RB,82,66,77,83,77,69
Ferland Mendy,Real Madrid,LB,82,64,76,76,77,63
Nahuel Molina,Atlético de Madrid,RB,82,67,76,77,78,67
João Mário,SL Benfica,RM,82,79,81,83,69,82
Darwin Núñez,Liverpool,ST,82,81,71,76,43,81
Loïs Openda,RB Leipzig,ST,82,79,68,80,31,83
Nicolás Otamendi,SL Benfica,CB,82,57,64,51,83,54
Isi Palazón,Rayo Vallecano,RM,82,79,79,83,39,82
Pedro Gonçalves,Sporting CP,LW,82,82,81,83,58,84
Fernando,Sevilla FC,CDM,82,62,74,70,82,54
Cristian Romero,Spurs,CB,82,46,59,60,84,48
Jadon Sancho,Manchester Utd,LW,82,70,80,89,33,76
Stefan Savić,Atlético de Madrid,CB,82,35,57,47,85,34
Fabian Schär,Newcastle Utd,CB,82,68,75,73,84,60
Dominik Szoboszlai,Liverpool,CAM,82,82,84,83,34,77
Dušan Tadić,Fenerbahçe,LW,82,80,85,83,43,82
Mehdi Taremi,FC Porto,ST,82,81,76,81,38,84
Nuno Mendes,Paris SG,LB,82,58,75,78,77,45
Youri Tielemans,Aston Villa,CM,82,79,85,78,69,74
Lucas Torreira,Galatasaray,CDM,82,70,77,77,79,68
Ferran Torres,FC Barcelona,LW,82,79,78,84,35,81
Viktor Tsygankov,Girona FC,RM,82,78,79,82,46,82
Enes Ünal,Getafe CF,ST,82,84,70,83,40,87
Dayot Upamecano,FC Bayern München,CB,82,45,63,71,81,39
Timo Werner,RB Leipzig,ST,82,80,70,82,35,78
Callum Wilson,Newcastle Utd,ST,82,82,67,77,42,86
Granit Xhaka,Leverkusen,CM,82,74,82,72,75,67
Mattia Zaccagni,Latium,LW,82,77,74,89,57,79
Nathan Aké,Manchester City,CB,81,53,72,73,82,48
Ali Al Musrati,SC Braga,CDM,81,66,71,71,80,61
Raúl Albiol,Villarreal CF,CB,81,41,62,59,85,27
Toby Alderweireld,Royal Antwerp FC,CB,81,61,74,62,83,49
Miguel Almirón,Newcastle Utd,RW,81,77,75,83,56,79
Edson Álvarez,West Ham,CDM,81,58,68,68,82,57
Yeray,Athletic Club,CB,81,49,68,57,83,42
Maximilian Arnold,VfL Wolfsburg,CDM,81,79,79,78,76,75
Balde,FC Barcelona,LB,81,48,73,77,75,51
Steven Berghuis,Ajax,CAM,81,82,82,80,40,82
Benjamin Bourigeaud,Stade Rennais FC,CM,81,77,82,83,67,76
Davide Calabria,Milan,RB,81,57,71,74,79,48
Etienne Capoue,Villarreal CF,CM,81,75,78,79,79,75
Ben Chilwell,Chelsea,LB,81,60,78,79,77,58
Samuel Chukwueze,Milan,RW,81,75,74,87,36,77
Jonathan Clauss,OM,RWB,81,69,76,77,70,68
Sebastián Coates,Sporting CP,CB,81,49,55,64,82,55
Lucas Paquetá,West Ham,CAM,81,77,79,86,69,78
Bryan Cristante,Roma FC,CDM,81,73,78,76,78,68
Danilo,Juventus,CB,81,67,74,73,83,59
Arnaut Danjuma,Everton,ST,81,81,76,84,44,83
Jonathan David,LOSC Lille,ST,81,81,71,79,34,84
Fred,Fenerbahçe,CM,81,69,79,78,76,66
Denzel Dumfries,Inter,RWB,81,63,70,72,78,67
Lewis Dunk,Brighton,CB,81,51,66,64,82,42
João Félix,FC Barcelona,CF,81,79,78,86,40,78
Beto,Everton,ST,81,79,59,77,25,83
Nicolás González,Fiorentina,RW,81,76,73,85,45,80
Danilo Pereira,Paris SG,CDM,81,63,70,73,80,57
Lorenzo Insigne,Toronto FC,LW,81,78,81,86,36,77
Alexander Isak,Newcastle Utd,ST,81,81,72,86,39,83
Daichi Kamada,Latium,CAM,81,73,80,83,54,75
Simon Kjær,Milan,CB,81,54,64,52,83,55
Ibrahima Konaté,Liverpool,CB,81,34,57,68,82,29
Geoffrey Kondogbia,OM,CM,81,75,76,75,81,69
Andrej Kramarić,TSG Hoffenheim,CF,81,81,76,82,32,80
Dejan Kulusevski,Spurs,RW,81,77,80,86,56,76
Gaëtan Laborde,OGC Nice,ST,81,81,76,79,40,83
Pepe,FC Porto,CB,81,51,60,58,81,46
Giovani Lo Celso,Spurs,CAM,81,75,83,85,68,73
Ademola Lookman,Bergamo Calcio,ST,81,81,69,86,30,86
Hirving Lozano,PSV,RW,81,76,72,83,41,77
Reinildo,Atlético de Madrid,LB,81,55,68,74,80,57
Antony,Manchester Utd,RW,81,76,74,86,46,76
Nemanja Matić,Stade Rennais FC,CDM,81,67,77,79,79,59
Brais Méndez,Real Sociedad,CM,81,80,82,83,65,83
Dries Mertens,Galatasaray,CF,81,80,80,82,40,80
Arkadiusz Milik,Juventus,ST,81,83,72,77,40,84
Henrikh Mkhitaryan,Inter,CAM,81,79,79,82,56,78
Mason Mount,Manchester Utd,CAM,81,79,82,81,56,78
Muniain,Athletic Club,CAM,81,74,81,84,51,75
Felipe Anderson,Latium,RW,81,78,77,85,63,79
Matteo Politano,Napoli FC,RW,81,77,78,83,42,76
Pedro Porro,Spurs,RB,81,73,77,81,74,68
Ivan Rakitić,Sevilla FC,CM,81,79,84,80,74,76
Amir Rrahmani,Napoli FC,CB,81,51,58,59,83,43
Fabián Ruiz,Paris SG,CM,81,78,79,81,74,78
Allan Saint-Maximin,Al Ahli,LM,81,73,73,92,29,72
Sancet,Athletic Club,CAM,81,77,77,82,61,77
Ibrahim Sangaré,Nott'm Forest,CDM,81,66,74,76,81,61
Diego Carlos,Aston Villa,CB,81,47,63,65,81,32
Xaver Schlager,RB Leipzig,CDM,81,70,74,78,75,66
William Carvalho,Real Betis,CDM,81,68,78,82,76,66
Malcom,Al Hilal,RM,81,79,78,84,28,77
Mário Rui,Napoli FC,LB,81,57,77,78,76,42
Ellyes Skhiri,Frankfurt,CDM,81,73,74,76,80,76
Anderson Talisca,Al Nassr,CF,81,84,76,81,52,83
Jonathan Tah,Leverkusen,CB,81,37,59,60,81,32
Edmond Tapsoba,Leverkusen,CB,81,54,65,66,82,57
Martin Terrier,Stade Rennais FC,LM,81,82,75,80,36,85
Leandro Trossard,Arsenal,CF,81,80,78,83,30,81
Manuel Ugarte,Paris SG,CDM,81,64,73,79,77,65
Lucas Vázquez,Real Madrid,RB,81,73,80,81,73,72
Iñaki Williams,Athletic Club,RM,81,78,71,80,43,77
Wilfried Zaha,Galatasaray,LW,81,78,72,87,37,80
Duván Zapata,Torino,ST,81,80,63,79,35,83
Tammy Abraham,Roma FC,ST,80,76,66,80,36,77
Karim Adeyemi,Borussia Dortmund,LM,80,77,71,82,34,80
Isco,Real Betis,CAM,80,72,80,84,59,72
Julián Álvarez,Manchester City,ST,80,81,76,82,55,82
Sofyan Amrabat,Manchester Utd,CDM,80,71,77,78,74,70
Pepê,FC Porto,LM,80,68,71,85,62,76
Mauro Arambarri,Getafe CF,CDM,80,65,74,76,79,55
Marko Arnautović,Inter,ST,80,79,78,77,44,79
Pierre-Emerick Aubameyang,OM,ST,80,81,72,77,35,83
Ezequiel Ávila,CA Osasuna,ST,80,81,65,79,45,81
Harvey Barnes,Newcastle Utd,LW,80,77,75,81,43,78
Fran Beltrán,RC Celta,CDM,80,56,78,77,78,53
Ramy Bensebaini,Borussia Dortmund,LB,80,70,72,79,79,73
Álex Berenguer,Athletic Club,LM,80,75,76,82,64,77
Cristiano Biraghi,Fiorentina,LB,80,69,78,76,76,58
Leonardo Bonucci,Union Berlin,CB,80,59,70,69,82,50
Emiliano Buendía,Aston Villa,RM,80,74,81,83,66,74
Moisés Caicedo,Chelsea,CDM,80,63,72,73,77,58
Giorgio Chiellini,LAFC,CB,80,46,60,57,81,33
Francis Coquelin,Villarreal CF,CM,80,68,78,80,78,65
Juan Cuadrado,Inter,RM,80,73,78,86,74,66
Diogo Dalot,Manchester Utd,RB,80,61,76,80,75,52
Kevin Danso,RC Lens,CB,80,32,55,59,79,26
Matteo Darmian,Inter,CB,80,59,73,72,83,55
Richarlison,Spurs,ST,80,79,72,84,53,81
De Marcos,Athletic Club,RB,80,64,75,72,77,64
Marten de Roon,Bergamo Calcio,CDM,80,70,71,71,82,63
Deulofeu,Udinese,CF,80,79,76,87,30,79
Brahim,Real Madrid,CAM,80,71,77,83,30,73
Marcus Edwards,Sporting CP,RW,80,73,71,86,33,73
Eljif Elmas,Napoli FC,CAM,80,73,76,86,66,73
Aritz Elustondo,Real Sociedad,CB,80,39,64,48,80,35
Wataru Endo,Liverpool,CM,80,68,73,80,79,67
Pervis Estupiñán,Brighton,LB,80,47,71,77,77,48
Suso,Sevilla FC,RW,80,76,80,84,32,74
Youssouf Fofana,AS Monaco,CDM,80,67,74,77,78,64
Emil Forsberg,RB Leipzig,CAM,80,73,82,82,36,74
Juan Foyth,Villarreal CF,RB,80,46,71,69,81,43
Davide Frattesi,Inter,CM,80,71,78,80,68,73
Niclas Füllkrug,Borussia Dortmund,ST,80,83,70,74,40,84
Aleix García,Girona FC,CM,80,74,81,80,71,74
Nuno Santos,Sporting CP,LW,80,81,76,81,67,79
Nemanja Gudelj,Sevilla FC,CB,80,73,78,66,79,62
Dávid Hancko,Feyenoord,CB,80,64,72,73,80,60
Jordan Henderson,Ettifaq FC,CM,80,73,80,78,76,71
Ibañez,Al Ahli,CB,80,32,45,45,82,27
Mauro Icardi,Galatasaray,ST,80,81,69,71,40,85
Joan Jordán,Sevilla FC,CM,80,76,79,79,70,76
Boubacar Kamara,Aston Villa,CDM,80,54,72,71,80,47
Teun Koopmeiners,Bergamo Calcio,CM,80,75,80,75,76,70
Takefusa Kubo,Real Sociedad,RW,80,75,76,83,40,80
Erik Lamela,Sevilla FC,RW,80,77,78,85,54,74
Armand Laurienté,Sassuolo,LW,80,76,75,85,35,74
Victor Lindelöf,Manchester Utd,CB,80,51,73,70,81,42
Vitinha,Paris SG,CM,80,68,79,85,70,66
Anthony Martial,Manchester Utd,ST,80,78,73,87,35,79
Arnau Martínez,Girona FC,RB,80,50,72,76,76,50
Adam Marušić,Latium,LB,80,66,67,75,76,56
Joel Matip,Liverpool,CB,80,46,67,73,81,36
Chancel Mbemba,OM,CB,80,55,65,65,80,55
Facundo Medina,RC Lens,CB,80,36,69,68,80,39
Arthur Cabral,SL Benfica,ST,80,79,64,76,32,83
Kaoru Mitoma,Brighton,LM,80,73,74,88,57,79
Álex Moreno,Aston Villa,LB,80,69,73,77,76,73
Florentino,SL Benfica,CDM,80,47,67,72,79,35
Hany Mukhtar,Nashville SC,CF,80,75,80,79,44,78
Vedat Muriqi,RCD Mallorca,ST,80,82,63,77,29,84
Jesús Navas,Sevilla FC,RB,80,68,79,80,76,63
David Neres,SL Benfica,RM,80,75,75,86,43,74
Saúl,Atlético de Madrid,CM,80,76,76,79,77,73
Lucas Ocampos,Sevilla FC,RW,80,80,77,83,62,80
Exequiel Palacios,Leverkusen,CM,80,74,77,79,79,71
Mario Pašalić,Bergamo Calcio,CAM,80,78,76,82,67,80
Gonçalo Ramos,Paris SG,ST,80,78,65,76,47,82
Luiz Felipe,Al Ittihad,CB,80,29,61,69,81,22
Sergi Roberto,FC Barcelona,RB,80,63,79,78,75,63
Oriol Romeu,FC Barcelona,CDM,80,54,69,65,79,45
Valentin Rongier,OM,CDM,80,65,75,76,76,59
Marcel Sabitzer,Borussia Dortmund,CM,80,81,80,79,72,78
Téji Savanier,Montpellier,CAM,80,75,83,81,68,73
Leonardo Spinazzola,Roma FC,LWB,80,64,72,80,76,60
Nicolás Tagliafico,OL,LB,80,56,72,73,78,57
Kieran Tierney,Real Sociedad,LB,80,60,75,79,76,52
Rafael Tolói,Bergamo Calcio,CB,80,52,59,58,82,40
Hamari Traoré,Real Sociedad,RB,80,57,72,76,75,52
André Silva,Real Sociedad,ST,80,80,70,80,46,79
Carlos Vela,LAFC,RW,80,79,77,82,29,80
Jordan Veretout,OM,CM,80,75,78,77,76,71
Jonathan Viera,UD Las Palmas,CAM,80,74,79,80,63,76
Aaron Wan-Bissaka,Manchester Utd,RB,80,50,68,80,77,44
Ollie Watkins,Aston Villa,ST,80,79,68,76,46,84
Julian Weigl,M'gladbach,CDM,80,64,77,75,76,65
Benjamin White,Arsenal,RB,80,30,70,74,82,22
Georginio Wijnaldum,Ettifaq FC,CM,80,72,77,78,77,70
Nicolò Zaniolo,Aston Villa,RM,80,78,72,81,51,78
Oleksandr Zinchenko,Arsenal,LB,80,66,83,83,78,58
Hakim Ziyech,Galatasaray,RW,80,75,83,81,50,72
Zubeldia,Real Sociedad,CB,80,63,74,71,80,62
Zubimendi,Real Sociedad,CDM,80,65,74,72,78,67
Vincent Aboubakar,Beşiktaş,ST,79,80,71,79,36,82
Nayef Aguerd,West Ham,CB,79,50,64,58,81,40
Joseph Aidoo,RC Celta,CB,79,27,47,35,78,18
Ludovic Ajorque,1. FSV Mainz 05,ST,79,79,63,72,46,83
Thiago Almada,Atlanta United,CAM,79,74,75,82,51,72
Marcos Alonso,FC Barcelona,LB,79,74,81,78,78,70
Benjamin André,LOSC Lille,CDM,79,64,73,75,78,61
Fredrik Aursnes,SL Benfica,CM,79,66,78,77,74,64
Azpilicueta,Atlético de Madrid,RB,79,55,76,68,81,46
Alexander Bah,SL Benfica,RB,79,65,72,75,74,59
Leon Bailey,Aston Villa,RM,79,77,73,84,33,78
Ridle Baku,VfL Wolfsburg,RB,79,73,74,83,72,74
Folarin Balogun,AS Monaco,ST,79,79,62,77,23,83
Éver Banega,Al Shabab,CM,79,73,82,78,73,71
Ricardo Pereira,Leicester City,RB,79,66,77,76,79,64
Marc Bartra,Real Betis,CB,79,61,72,69,79,55
Christoph Baumgartner,RB Leipzig,CAM,79,73,74,82,45,76
Yuri Berchiche,Athletic Club,LB,79,68,74,72,76,61
Steven Bergwijn,Ajax,LW,79,77,74,83,42,75
Gonçalo Inácio,Sporting CP,CB,79,36,61,49,80,23
Yves Bissouma,Spurs,CDM,79,67,74,78,77,58
Sacha Boey,Galatasaray,RB,79,55,65,74,76,44
Giacomo Bonaventura,Fiorentina,CM,79,78,80,79,70,75
Jarrod Bowen,West Ham,RM,79,77,74,80,44,80
Dan Burn,Newcastle Utd,CB,79,34,67,69,80,25
Rémy Cabella,LOSC Lille,CAM,79,73,77,83,40,74
Antonio Candreva,Salernitana,CF,79,79,80,81,62,74
Nicolò Casale,Latium,CB,79,53,66,70,80,47
Matty Cash,Aston Villa,RB,79,66,71,75,74,66
Valentin Castellanos,Latium,ST,79,79,69,76,42,82
Catena,CA Osasuna,CB,79,39,63,35,80,38
Edinson Cavani,Boca Juniors,ST,79,82,68,70,51,83
Dani Ceballos,Real Madrid,CM,79,71,78,83,70,68
Patrick Ciurria,Monza,RM,79,74,77,78,48,73
Cucurella,Chelsea,LB,79,68,77,79,75,68
Romarinho,Al Ittihad,CF,79,76,71,81,30,78
Luuk de Jong,PSV,ST,79,79,71,69,46,81
Raúl de Tomás,Rayo Vallecano,ST,79,79,76,80,39,79
