Name,Nation,Position,Overall
Marcos Llorente,Spain,RM,84
Stanislav Lobotka,Slovakia,CM,84
Romelu Lukaku,Belgium,ST,84
James Maddison,England,CAM,84
Gabriel Martinelli,Brazil,LW,84
Lisandro Martínez,Argentina,CB,84
Mikel Merino,Spain,CM,84
Thomas Müller,Germany,CAM,84
Adrien Rabiot,France,CM,84
Koke,Spain,CDM,84
Luis Alberto,Spain,CM,84
Leroy Sané,Germany,RM,84
Bremer,Brazil,CB,84
Milan Škriniar,Slovakia,CB,84
Chris Smalling,England,CB,84
Niklas Süle,Germany,CB,84
Aurélien Tchouaméni,France,CDM,84
Fikayo Tomori,England,CB,84
Kyle Walker,England,RB,84
Francesco Acerbi,Italy,CB,83
Jordi Alba,Spain,LB,83
Marco Asensio,Spain,RW,83
Wissam Ben Yedder,France,ST,83
Sven Botman,Holland,CB,83
Marcelo Brozović,Croatia,CDM,83
Sergio Busquets,Spain,CDM,83
Emre Can,Germany,CDM,83
Andreas Christensen,Denmark,CB,83
Sergi Darder,Spain,CM,83
Alphonso Davies,Canada,LB,83
Ángel Di María,Argentina,CF,83
Edin Džeko,Bosnia and Herzegovina,ST,83
Christian Eriksen,Denmark,CM,83
Nabil Fekir,France,CAM,83
Enzo Fernández,Argentina,CM,83
Nacho Fernández,Spain,CB,83
Rafa,Portugal,CF,83
Jorginho,Italy,CDM,83
Pau Torres,Spain,CB,83
Jeremie Frimpong,Holland,RWB,83
Cody Gakpo,Holland,CF,83
José María Giménez,Uruguay,CB,83
Sébastien Haller,Côte d'Ivoire,ST,83
Jonas Hofmann,Germany,CAM,83
Mats Hummels,Germany,CB,83
Borja Iglesias,Spain,ST,83
Filip Kostić,Serbia,LM,83
Alexandre Lacazette,France,ST,83
Konrad Laimer,Austria,CDM,83
Gianluca Mancini,Italy,CB,83
Morata,Spain,ST,83
Gerard Moreno,Spain,ST,83
Dani Olmo,Spain,CAM,83
Willi Orban,Hungary,CB,83
Oyarzabal,Spain,LM,83
Gavi,Spain,CM,83
Palhinha,Portugal,CDM,83
Benjamin Pavard,France,CB,83
Lorenzo Pellegrini,Italy,CAM,83
Marco Reus,Germany,CAM,83
Guido Rodríguez,Argentina,CDM,83
Alessio Romagnoli,Italy,CB,83
William Saliba,France,CB,83
Patrik Schick,Czech Republic,ST,83
Nico Schlotterbeck,Germany,CB,83
Luke Shaw,England,LB,83
Raheem Sterling,England,LW,83
Dušan Vlahović,Serbia,ST,83
André-Franck Zambo Anguissa,Cameroon,CDM,83
Piotr Zieliński,Poland,CM,83
Manuel Akanji,Switzerland,CB,82
Robert Andrich,Germany,CDM,82
Joelinton,Brazil,CM,82
Roberto Firmino,Brazil,CF,82
Rodrigo Bentancur,Uruguay,CM,82
Eduardo Camavinga,France,CDM,82
Carvajal,Spain,RB,82
Ángel Correa,Argentina,ST,82
Ricardo Horta,Portugal,CAM,82
Otávio,Portugal,RM,82
Stefan de Vrij,Holland,CB,82
Boulaye Dia,Senegal,ST,82
Federico Dimarco,Italy,LWB,82
Youssef En-Nesyri,Morocco,ST,82
Seko Fofana,Côte d'Ivoire,CM,82
Javi Galán,Spain,LB,82
David García,Spain,CB,82
Gayà,Spain,LB,82
Olivier Giroud,France,ST,82
Mario Götze,Germany,CAM,82
Vincenzo Grifo,Italy,LM,82
Raphaël Guerreiro,Portugal,LB,82
Joško Gvardiol,Croatia,CB,82
Kai Havertz,Germany,CAM,82
Mario Hermoso,Spain,CB,82
Franck Yannick Kessié,Côte d'Ivoire,CDM,82
Presnel Kimpembe,France,CB,82
Orkun Kökçü,Turkey,CM,82
Mateo Kovačić,Croatia,CM,82
Robin Le Normand,Spain,CB,82
Thomas Lemar,France,CM,82
Manuel Locatelli,Italy,CDM,82
Alexis Mac Allister,Argentina,CM,82
Donyell Malen,Holland,RM,82
Iñigo Martínez,Spain,CB,82
Joselu,Spain,ST,82
Noussair Mazraoui,Morocco,RB,82
Ferland Mendy,France,LB,82
Nahuel Molina,Argentina,RB,82
João Mário,Portugal,RM,82
Darwin Núñez,Uruguay,ST,82
Loïs Openda,Belgium,ST,82
Nicolás Otamendi,Argentina,CB,82
Isi Palazón,Spain,RM,82
Pedro Gonçalves,Portugal,LW,82
Fernando,Brazil,CDM,82
Cristian Romero,Argentina,CB,82
Jadon Sancho,England,LW,82
Stefan Savić,Montenegro,CB,82
Fabian Schär,Switzerland,CB,82
Dominik Szoboszlai,Hungary,CAM,82
Dušan Tadić,Serbia,LW,82
Mehdi Taremi,Iran,ST,82
Nuno Mendes,Portugal,LB,82
Youri Tielemans,Belgium,CM,82
Lucas Torreira,Uruguay,CDM,82
Ferran Torres,Spain,LW,82
Viktor Tsygankov,Ukraine,RM,82
Enes Ünal,Turkey,ST,82
Dayot Upamecano,France,CB,82
Timo Werner,Germany,ST,82
Callum Wilson,England,ST,82
Granit Xhaka,Switzerland,CM,82
Mattia Zaccagni,Italy,LW,82
Nathan Aké,Holland,CB,81
Ali Al Musrati,Libya,CDM,81
Raúl Albiol,Spain,CB,81
Toby Alderweireld,Belgium,CB,81
Miguel Almirón,Paraguay,RW,81
Edson Álvarez,Mexico,CDM,81
Yeray,Spain,CB,81
Maximilian Arnold,Germany,CDM,81
Balde,Spain,LB,81
Steven Berghuis,Holland,CAM,81
Benjamin Bourigeaud,France,CM,81
Davide Calabria,Italy,RB,81
Etienne Capoue,France,CM,81
Ben Chilwell,England,LB,81
Samuel Chukwueze,Nigeria,RW,81
Jonathan Clauss,France,RWB,81
Sebastián Coates,Uruguay,CB,81
Lucas Paquetá,Brazil,CAM,81
Bryan Cristante,Italy,CDM,81
Danilo,Brazil,CB,81
Arnaut Danjuma,Holland,ST,81
Jonathan David,Canada,ST,81
Fred,Brazil,CM,81
Denzel Dumfries,Holland,RWB,81
Lewis Dunk,England,CB,81
João Félix,Portugal,CF,81
Beto,Portugal,ST,81
Nicolás González,Argentina,RW,81
Danilo Pereira,Portugal,CDM,81
Lorenzo Insigne,Italy,LW,81
Alexander Isak,Sweden,ST,81
Daichi Kamada,Japan,CAM,81
Simon Kjær,Denmark,CB,81
Ibrahima Konaté,France,CB,81
Geoffrey Kondogbia,Central African Republic,CM,81
Andrej Kramarić,Croatia,CF,81
Dejan Kulusevski,Sweden,RW,81
Gaëtan Laborde,France,ST,81
Pepe,Portugal,CB,81
Giovani Lo Celso,Argentina,CAM,81
Ademola Lookman,Nigeria,ST,81
Hirving Lozano,Mexico,RW,81
Reinildo,Mozambique,LB,81
Antony,Brazil,RW,81
Nemanja Matić,Serbia,CDM,81
Brais Méndez,Spain,CM,81
Dries Mertens,Belgium,CF,81
Arkadiusz Milik,Poland,ST,81
Henrikh Mkhitaryan,Armenia,CAM,81
Mason Mount,England,CAM,81
Muniain,Spain,CAM,81
Felipe Anderson,Brazil,RW,81
Matteo Politano,Italy,RW,81
Pedro Porro,Spain,RB,81
Ivan Rakitić,Croatia,CM,81
Amir Rrahmani,Kosovo,CB,81
Fabián Ruiz,Spain,CM,81
Allan Saint-Maximin,France,LM,81
Sancet,Spain,CAM,81
Ibrahim Sangaré,Côte d'Ivoire,CDM,81
Diego Carlos,Brazil,CB,81
Xaver Schlager,Austria,CDM,81
William Carvalho,Portugal,CDM,81
Malcom,Brazil,RM,81
Mário Rui,Portugal,LB,81
Ellyes Skhiri,Tunisia,CDM,81
Anderson Talisca,Brazil,CF,81
Jonathan Tah,Germany,CB,81
Edmond Tapsoba,Burkina Faso,CB,81
Martin Terrier,France,LM,81
Leandro Trossard,Belgium,CF,81
Manuel Ugarte,Uruguay,CDM,81
Lucas Vázquez,Spain,RB,81
Iñaki Williams,Ghana,RM,81
Wilfried Zaha,Côte d'Ivoire,LW,81
Duván Zapata,Colombia,ST,81
Tammy Abraham,England,ST,80
Karim Adeyemi,Germany,LM,80
Isco,Spain,CAM,80
Julián Álvarez,Argentina,ST,80
Sofyan Amrabat,Morocco,CDM,80
Pepê,Brazil,LM,80
Mauro Arambarri,Uruguay,CDM,80
Marko Arnautović,Austria,ST,80
Pierre-Emerick Aubameyang,Gabon,ST,80
Ezequiel Ávila,Argentina,ST,80
Harvey Barnes,England,LW,80
Fran Beltrán,Spain,CDM,80
Ramy Bensebaini,Algeria,LB,80
Álex Berenguer,Spain,LM,80
Cristiano Biraghi,Italy,LB,80
Leonardo Bonucci,Italy,CB,80
Emiliano Buendía,Argentina,RM,80
Moisés Caicedo,Ecuador,CDM,80
Giorgio Chiellini,Italy,CB,80
Francis Coquelin,France,CM,80
Juan Cuadrado,Colombia,RM,80
Diogo Dalot,Portugal,RB,80
Kevin Danso,Austria,CB,80
Matteo Darmian,Italy,CB,80
Richarlison,Brazil,ST,80
De Marcos,Spain,RB,80
Marten de Roon,Holland,CDM,80
Deulofeu,Spain,CF,80
Brahim,Spain,CAM,80
Marcus Edwards,England,RW,80
Eljif Elmas,North Macedonia,CAM,80
Aritz Elustondo,Spain,CB,80
Wataru Endo,Japan,CM,80
Pervis Estupiñán,Ecuador,LB,80
Suso,Spain,RW,80
Youssouf Fofana,France,CDM,80
Emil Forsberg,Sweden,CAM,80
Juan Foyth,Argentina,RB,80
Davide Frattesi,Italy,CM,80
Niclas Füllkrug,Germany,ST,80
Aleix García,Spain,CM,80
Nuno Santos,Portugal,LW,80
Nemanja Gudelj,Serbia,CB,80
Dávid Hancko,Slovakia,CB,80
Jordan Henderson,England,CM,80
Ibañez,Brazil,CB,80
Mauro Icardi,Argentina,ST,80
Joan Jordán,Spain,CM,80
Boubacar Kamara,France,CDM,80
Teun Koopmeiners,Holland,CM,80
Takefusa Kubo,Japan,RW,80
Erik Lamela,Argentina,RW,80
Armand Laurienté,France,LW,80
Victor Lindelöf,Sweden,CB,80
Vitinha,Portugal,CM,80
Anthony Martial,France,ST,80
Arnau Martínez,Spain,RB,80
Adam Marušić,Montenegro,LB,80
Joel Matip,Cameroon,CB,80
Chancel Mbemba,Congo DR,CB,80
Facundo Medina,Argentina,CB,80
Arthur Cabral,Brazil,ST,80
Kaoru Mitoma,Japan,LM,80
Álex Moreno,Spain,LB,80
Florentino,Portugal,CDM,80
Hany Mukhtar,Germany,CF,80
Vedat Muriqi,Kosovo,ST,80
Jesús Navas,Spain,RB,80
David Neres,Brazil,RM,80
Saúl,Spain,CM,80
Lucas Ocampos,Argentina,RW,80
Exequiel Palacios,Argentina,CM,80
Mario Pašalić,Croatia,CAM,80
Gonçalo Ramos,Portugal,ST,80
Luiz Felipe,Italy,CB,80
Sergi Roberto,Spain,RB,80
Oriol Romeu,Spain,CDM,80
Valentin Rongier,France,CDM,80
Marcel Sabitzer,Austria,CM,80
Téji Savanier,France,CAM,80
Leonardo Spinazzola,Italy,LWB,80
Nicolás Tagliafico,Argentina,LB,80
Kieran Tierney,Scotland,LB,80
Rafael Tolói,Italy,CB,80
Hamari Traoré,Mali,RB,80
André Silva,Portugal,ST,80
Carlos Vela,Mexico,RW,80
Jordan Veretout,France,CM,80
Jonathan Viera,Spain,CAM,80
Aaron Wan-Bissaka,England,RB,80
Ollie Watkins,England,ST,80
Julian Weigl,Germany,CDM,80
Benjamin White,England,RB,80
Georginio Wijnaldum,Holland,CM,80
Nicolò Zaniolo,Italy,RM,80
Oleksandr Zinchenko,Ukraine,LB,80
Hakim Ziyech,Morocco,RW,80
Zubeldia,Spain,CB,80
Zubimendi,Spain,CDM,80
Vincent Aboubakar,Cameroon,ST,79
Nayef Aguerd,Morocco,CB,79
Joseph Aidoo,Ghana,CB,79
Ludovic Ajorque,France,ST,79
Thiago Almada,Argentina,CAM,79
Marcos Alonso,Spain,LB,79
Benjamin André,France,CDM,79
Fredrik Aursnes,Norway,CM,79
Azpilicueta,Spain,RB,79
Alexander Bah,Denmark,RB,79
Leon Bailey,Jamaica,RM,79
Ridle Baku,Germany,RB,79
Folarin Balogun,United States,ST,79
Éver Banega,Argentina,CM,79
Ricardo Pereira,Portugal,RB,79
Marc Bartra,Spain,CB,79
Christoph Baumgartner,Austria,CAM,79
Yuri Berchiche,Spain,LB,79
Steven Bergwijn,Holland,LW,79
Gonçalo Inácio,Portugal,CB,79
Yves Bissouma,Mali,CDM,79
Sacha Boey,France,RB,79
Giacomo Bonaventura,Italy,CM,79
Jarrod Bowen,England,RM,79
Dan Burn,England,CB,79
Rémy Cabella,France,CAM,79
Antonio Candreva,Italy,CF,79
Nicolò Casale,Italy,CB,79
Matty Cash,Poland,RB,79
Valentin Castellanos,Argentina,ST,79
Catena,Spain,CB,79
Edinson Cavani,Uruguay,ST,79
Dani Ceballos,Spain,CM,79
Patrick Ciurria,Italy,RM,79
Cucurella,Spain,LB,79
Romarinho,Brazil,CF,79
Luuk de Jong,Holland,ST,79
Raúl de Tomás,Spain,ST,79
Thomas Delaney,Denmark,CDM,79
Kerem Demirbay,Germany,CM,79
Lucas Digne,France,LB,79
Axel Disasi,France,CB,79
Angeliño,Spain,LB,79
Eberechi Eze,England,CAM,79
Ignacio Fernández,Argentina,CAM,79
Wesley Fofana,France,CB,79
Przemysław Frankowski,Poland,RWB,79
Gonçalo Guedes,Portugal,ST,79
Álvaro García,Spain,LM,79
Lutsharel Geertruida,Holland,RB,79
Carles Gil,Spain,CAM,79
Alexandr Golovin,Russia,LM,79
Joe Gomez,England,CB,79
Moi Gómez,Spain,CM,79
Edgar,Spain,CB,79
Robin Gosens,Germany,LWB,79
Amine Gouiri,France,ST,79
Ryan Gravenberch,Holland,CM,79
Michael Gregoritsch,Austria,ST,79
Mattéo Guendouzi,France,CM,79
Christian Günter,Germany,LB,79
Ander Herrera,Spain,CM,79
Piero Hincapié,Ecuador,CB,79
Juanmi,Spain,LM,79
Kevin Kampl,Slovenia,CM,79
Lukas Klostermann,Germany,CB,79
Ezri Konsa,England,CB,79
Mohammed Kudus,Ghana,RW,79
Manuel Lazzari,Italy,RB,79
Philipp Lienhart,Austria,CB,79
Renan Lodi,Brazil,LB,79
David López,Spain,CB,79
Matheus Nunes,Portugal,CM,79
Harry Maguire,England,CB,79
Lovro Majer,Croatia,CM,79
Solly March,England,RM,79
John McGinn,Scotland,CM,79
Callum McGregor,Scotland,CDM,79
Scott McTominay,Scotland,CDM,79
Ben Mee,England,CB,79
Nikola Milenković,Serbia,CB,79
Tyrone Mings,England,CB,79
Aleksandar Mitrović,Serbia,ST,79
Gonzalo Montiel,Argentina,RB,79
Morales,Spain,ST,79
Nordi Mukiele,France,RB,79
Luis Muriel,Colombia,ST,79
Wilfred Ndidi,Nigeria,CDM,79
Florian Neuhaus,Germany,CM,79
Alex Telles,Brazil,LB,79
Ayoze Pérez,Spain,LM,79
Ivan Perišić,Croatia,LW,79
Kalvin Phillips,England,CDM,79
Ethan Pinnock,Jamaica,CB,79
Yeremy Pino,Spain,LM,79
Christian Pulisic,United States,LW,79
Giacomo Raspadori,Italy,CF,79
Matheus Reis,Brazil,CB,79
Emanuel Reynoso,Argentina,CAM,79
Lucas Robertone,Argentina,CM,79
Sebastian Rode,Germany,CDM,79
Pedro,Spain,RW,79
Kaku,Paraguay,CAM,79
Perr Schuurs,Holland,CB,79
Mohamed Simakan,France,CB,79
Xavi Simons,Holland,CAM,79
Douglas Luiz,Brazil,CDM,79
Carlos Soler,Spain,CM,79
Alexander Sørloth,Norway,ST,79
Tomáš Souček,Czech Republic,CDM,79
Josip Šutalo,Croatia,CB,79
James Tarkowski,England,CB,79
Teddy Teuma,Malta,CM,79
Khéphren Thuram,France,CM,79
Marcus Thuram,France,ST,79
Jurriën Timber,Holland,CB,79
Jean-Clair Todibo,France,CB,79
Corentin Tolisso,France,CDM,79
Óliver Torres,Spain,CM,79
Gernot Trauner,Austria,CB,79
Samuel Umtiti,France,CB,79
Hans Vanaken,Belgium,CM,79
Jan Vertonghen,Belgium,CB,79
Edin Višća,Bosnia and Herzegovina,RM,79
Vivian,Spain,CB,79
Kevin Volland,Germany,ST,79
Nico Williams,Spain,RM,79
Axel Witsel,Belgium,CDM,79
Denis Zakaria,Switzerland,CDM,79
Davide Zappacosta,Italy,LWB,79
Lucas Zelarayán,Armenia,CAM,79
Carlos Augusto,Brazil,LM,79
Kurt Zouma,France,CB,79
Salis Abdul Samed,Ghana,CDM,78
Tyler Adams,United States,CDM,78
Pizzi,Portugal,CM,78
Rodrigo Aliendro,Argentina,CM,78
Joachim Andersen,Denmark,CB,78
Michail Antonio,Jamaica,ST,78
Gabriel Paulista,Brazil,CB,78
Serge Aurier,Côte d'Ivoire,RB,78
Sardar Azmoun,Iran,ST,78
Benoît Badiashile,France,CB,78
Simon Banza,France,ST,78
Antonín Barák,Czech Republic,CM,78
Sheraldo Becker,Suriname,ST,78
Héctor Bellerín,Spain,RB,78
Andrea Belotti,Italy,ST,78
Saïd Benrahma,Algeria,LM,78
Mergim Berisha,Germany,ST,78
Federico Bernardeschi,Italy,RW,78
Ludovic Blas,France,CAM,78
Denis Bouanga,Gabon,LW,78
Nélson Semedo,Portugal,RB,78
Mohamed Camara,Mali,CDM,78
Maxence Caqueret,France,CM,78
Matheus Cunha,Brazil,ST,78
Gedson Fernandes,Portugal,CM,78
Gaetano Castrovilli,Italy,CM,78
Eric Maxim Choupo-Moting,Cameroon,ST,78
Jordy Clasie,Holland,CDM,78
Santi Comesaña,Spain,CDM,78
Igor Coronado,Brazil,CAM,78
Dante,Brazil,CB,78
Vladimír Coufal,Czech Republic,RB,78
Gustavo Cuéllar,Colombia,CDM,78
José Fonte,Portugal,CB,78
Mahmoud Dahoud,Germany,CM,78
Felipe,Brazil,CB,78
Nicolás De la Cruz,Uruguay,CM,78
Evanilson,Brazil,ST,78
Habib Diallo,Senegal,ST,78
Issa Diop,France,CB,78
Ritsu Doan,Japan,RM,78
Danilho Doekhi,Holland,CB,78
Oscar,Brazil,CM,78
Cheick Doucouré,Mali,CDM,78
Sebastián Driussi,Argentina,CAM,78
Munir,Morocco,LM,78
Stephan El Shaarawy,Italy,LM,78
Breel Embolo,Switzerland,ST,78
Alfonso Espino,Uruguay,LB,78
Ansu Fati,Spain,LW,78
Remo Freuler,Switzerland,CDM,78
Conor Gallagher,England,CM,78
Rubén García,Spain,LM,78
Fran García,Spain,LB,78
Pepelu,Spain,CDM,78
Rachid Ghezzal,Algeria,RW,78
Samuel Gigot,France,CB,78
Santiago Giménez,Mexico,ST,78
Ismaily,Brazil,LB,78
Jonathan Gradit,France,CB,78
Pascal Groß,Germany,CM,78
Marc Guéhi,England,CB,78
Amadou Haidara,Mali,CM,78
Reo Hatate,Japan,CM,78
Hans Hateboer,Holland,RWB,78
Thorgan Hazard,Belgium,LM,78
Ahmed Hegazi,Egypt,CB,78
Benjamin Henrichs,Germany,RB,78
Rico Henry,England,LB,78
Héctor Herrera,Mexico,CM,78
Junya Ito,Japan,RM,78
Nicolas Jackson,Senegal,ST,78
Florian Kainz,Austria,CAM,78
Pierre Kalulu,France,CB,78
Rick Karsdorp,Holland,RM,78
Moise Kean,Italy,ST,78
Naby Keïta,Guinea,CM,78
Sead Kolašinac,Bosnia and Herzegovina,CB,78
Rade Krunić,Bosnia and Herzegovina,CM,78
Kodjo Fo-Doh Laba,Togo,ST,78
Noa Lang,Holland,LW,78
Lee Jae Sung,Korea Republic,CAM,78
Lee Kang In,Korea Republic,LW,78
Emerson Royal,Brazil,RB,78
Mario Lemina,Gabon,CDM,78
Alex Sandro,Brazil,LB,78
Sean Longstaff,England,CM,78
Maxime Lopez,France,CM,78
Dejan Lovren,Croatia,CB,78
Dodi Lukébakio,Belgium,RM,78
Renato Sanches,Portugal,CM,78
Pablo Maffeo,Spain,RWB,78
Nemanja Maksimović,Serbia,CM,78
Tyrell Malacia,Holland,LB,78
Ruslan Malinovskyi,Ukraine,CF,78
Konstantinos Mavropanos,Greece,CB,78
Philipp Max,Germany,LWB,78
Bryan Mbeumo,Cameroon,RW,78
Junior Messias,Brazil,RW,78
Luis Milla,Spain,CM,78
Moncayola,Spain,CM,78
Hidemasa Morita,Japan,CM,78
Galeno,Brazil,LM,78
Marcão,Brazil,CB,78
Fran Navarro,Spain,ST,78
Evan Ndicka,Côte d'Ivoire,CB,78
Tanguy Ndombele,France,CM,78
Victor Nelsson,Denmark,CB,78
Jota,Portugal,LM,78
M'Bala Nzola,Angola,ST,78
Michael Olise,France,RW,78
Caio Henrique,Brazil,LB,78
Mathías Olivera,Uruguay,LB,78
Riccardo Orsolini,Italy,RM,78
Salih Özcan,Turkey,CDM,78
Vangelis Pavlidis,Greece,ST,78
Pedraza,Spain,LB,78
Nicolas Pépé,Côte d'Ivoire,RM,78
Matteo Pessina,Italy,CAM,78
Quinn,Canada,CDM,78
Arthur,Brazil,CM,78
Jacob Ramsey,England,LM,78
David Raum,Germany,LB,78
Reguilón,Spain,LB,78
Tijjani Reijnders,Holland,CM,78
Sérgio Oliveira,Portugal,CM,78
Giovanni Reyna,United States,RM,78
André Almeida,Portugal,CM,78
Dani Rodríguez,Spain,RM,78
Alexis Saelemaekers,Belgium,RW,78
Antonio Sanabria,Paraguay,ST,78
Pablo Sarabia,Spain,RM,78
Gianluca Scamacca,Italy,ST,78
Stefano Sensi,Italy,CM,78
Giovanni Simeone,Argentina,ST,78
Luis Sinisterra,Colombia,LM,78
Emile Smith Rowe,England,LW,78
Borna Sosa,Croatia,LWB,78
Djibril Sow,Switzerland,CM,78
Taras Stepanenko,Ukraine,CDM,78
Lars Stindl,Germany,CAM,78
Renato Tapia,Peru,CDM,78
António Silva,Portugal,CB,78
James Tavernier,England,RB,78
Adrien Thomasson,France,LW,78
Takehiro Tomiyasu,Japan,RB,78
Óscar Trejo,Argentina,CAM,78
Mike Trésor,Belgium,LM,78
Cengiz Ünder,Turkey,RM,78
Myrto Uzuni,Albania,ST,78
Micky van de Ven,Holland,CB,78
Branco van den Boomen,Holland,CM,78
Jamie Vardy,England,ST,78
Joey Veerman,Holland,CM,78
Gabri Veiga,Spain,CM,78
Joël Veltman,Holland,RB,78
Vesga,Spain,CM,78
Nikola Vlašić,Croatia,CF,78
Elye Wahi,France,ST,78
James Ward-Prowse,England,CM,78
Adam Webster,England,CB,78
Joe Willock,England,CM,78
Patrick Wimmer,Austria,RW,78
Marius Wolf,Germany,RB,78
Yunis Abdelhamid,Morocco,CB,77
Luciano Acosta,Argentina,CAM,77
Tosin Adarabioyo,England,CB,77
Amine Adli,Morocco,ST,77
Kerem Aktürkoğlu,Turkey,LM,77
Salem Al Dawsari,Saudi Arabia,LM,77
Nadiem Amiri,Germany,CAM,77
Stephen Eustáquio,Canada,CDM,77
Taiwo Awoniyi,Nigeria,ST,77
Loïc Badé,France,CB,77
Tommaso Baldanzi,Italy,CAM,77
Iván Balliu,Albania,RB,77
Jonathan Bamba,France,LM,77
Igor Paixão,Brazil,LW,77
Esequiel Barco,Argentina,LM,77
Abdülkerim Bardakçı,Turkey,CB,77
Musa Barrow,Gambia,CF,77
Michy Batshuayi,Belgium,ST,77
Ihlas Bebou,Togo,ST,77
Juan Bernat,Spain,LB,77
Philip Billing,Denmark,CM,77
Daley Blind,Holland,CB,77
Willian,Brazil,LM,77
Fabio Borini,Italy,LM,77
Lucas Boyé,Argentina,ST,77
Martin Braithwaite,Denmark,ST,77
Ante Budimir,Croatia,ST,77
Santiago Bueno,Uruguay,CB,77
Alessandro Buongiorno,Italy,CB,77
Dominic Calvert-Lewin,England,ST,77
Gianluca Caprari,Italy,CF,77
Timothy Castagne,Belgium,RB,77
Danilo Cataldi,Italy,CDM,77
Franco Cervi,Argentina,LM,77
Trevoh Chalobah,England,CB,77
Viktor Claesson,Sweden,CM,77
Dodô,Brazil,RB,77
Joaquín Correa,Argentina,CF,77
Jaume Costa,Spain,LWB,77
Aaron Cresswell,England,LB,77
Danilo D'Ambrosio,Italy,CB,77
Ben Davies,Wales,CB,77
Craig Dawson,England,CB,77
De Frutos,Spain,RM,77
Vanderson,Brazil,RB,77
Michael,Brazil,LM,77
Merih Demiral,Turkey,CB,77
Paulinho,Portugal,ST,77
Samuel Lino,Brazil,LM,77
Eric Dier,England,CB,77
Sofiane Diop,France,LM,77
Dakonam Djené,Togo,CB,77
Berat Djimsiti,Albania,CB,77
