Name,Nation,Club,Position,Age,Overall
Miguel Almirón,Paraguay,Newcastle Utd,RW,29,81
Edson Álvarez,Mexico,West Ham,CDM,25,81
Yeray,Spain,Athletic Club,CB,28,81
Maximilian Arnold,Germany,VfL Wolfsburg,CDM,29,81
Balde,Spain,FC Barcelona,LB,19,81
Steven Berghuis,Holland,Ajax,CAM,31,81
Benjamin Bourigeaud,France,Stade Rennais FC,CM,29,81
Davide Calabria,Italy,Milan,RB,26,81
Etienne Capoue,France,Villarreal CF,CM,35,81
Ben Chilwell,England,Chelsea,LB,26,81
Samuel Chukwueze,Nigeria,Milan,RW,24,81
Jonathan Clauss,France,OM,RWB,31,81
Sebastián Coates,Uruguay,Sporting CP,CB,33,81
Lucas Paquetá,Brazil,West Ham,CAM,26,81
Bryan Cristante,Italy,Roma FC,CDM,28,81
Danilo,Brazil,Juventus,CB,32,81
Arnaut Danjuma,Holland,Everton,ST,26,81
Jonathan David,Canada,LOSC Lille,ST,23,81
Fred,Brazil,Fenerbahçe,CM,30,81
Denzel Dumfries,Holland,Inter,RWB,27,81
Lewis Dunk,England,Brighton,CB,31,81
João Félix,Portugal,FC Barcelona,CF,23,81
Beto,Portugal,Everton,ST,25,81
Nicolás González,Argentina,Fiorentina,RW,25,81
Danilo Pereira,Portugal,Paris SG,CDM,32,81
Lorenzo Insigne,Italy,Toronto FC,LW,32,81
Alexander Isak,Sweden,Newcastle Utd,ST,24,81
Daichi Kamada,Japan,Latium,CAM,27,81
Simon Kjær,Denmark,Milan,CB,34,81
Ibrahima Konaté,France,Liverpool,CB,24,81
Geoffrey Kondogbia,Central African Republic,OM,CM,30,81
Andrej Kramarić,Croatia,TSG Hoffenheim,CF,32,81
Dejan Kulusevski,Sweden,Spurs,RW,23,81
Gaëtan Laborde,France,OGC Nice,ST,29,81
Pepe,Portugal,FC Porto,CB,40,81
Giovani Lo Celso,Argentina,Spurs,CAM,27,81
Ademola Lookman,Nigeria,Bergamo Calcio,ST,25,81
Hirving Lozano,Mexico,PSV,RW,28,81
Reinildo,Mozambique,Atlético de Madrid,LB,29,81
Antony,Brazil,Manchester Utd,RW,23,81
Nemanja Matić,Serbia,Stade Rennais FC,CDM,35,81
Brais Méndez,Spain,Real Sociedad,CM,26,81
Dries Mertens,Belgium,Galatasaray,CF,36,81
Arkadiusz Milik,Poland,Juventus,ST,29,81
Henrikh Mkhitaryan,Armenia,Inter,CAM,34,81
Mason Mount,England,Manchester Utd,CAM,24,81
Muniain,Spain,Athletic Club,CAM,30,81
Felipe Anderson,Brazil,Latium,RW,30,81
Matteo Politano,Italy,Napoli FC,RW,30,81
Pedro Porro,Spain,Spurs,RB,24,81
Ivan Rakitić,Croatia,Sevilla FC,CM,35,81
Amir Rrahmani,Kosovo,Napoli FC,CB,29,81
Fabián Ruiz,Spain,Paris SG,CM,27,81
Allan Saint-Maximin,France,Al Ahli,LM,26,81
Sancet,Spain,Athletic Club,CAM,23,81
Ibrahim Sangaré,Côte d'Ivoire,Nott'm Forest,CDM,25,81
Diego Carlos,Brazil,Aston Villa,CB,30,81
Xaver Schlager,Austria,RB Leipzig,CDM,26,81
William Carvalho,Portugal,Real Betis,CDM,31,81
Malcom,Brazil,Al Hilal,RM,26,81
Mário Rui,Portugal,Napoli FC,LB,32,81
Ellyes Skhiri,Tunisia,Frankfurt,CDM,28,81
Anderson Talisca,Brazil,Al Nassr,CF,29,81
Jonathan Tah,Germany,Leverkusen,CB,27,81
Edmond Tapsoba,Burkina Faso,Leverkusen,CB,24,81
Martin Terrier,France,Stade Rennais FC,LM,26,81
Leandro Trossard,Belgium,Arsenal,CF,28,81
Manuel Ugarte,Uruguay,Paris SG,CDM,22,81
Lucas Vázquez,Spain,Real Madrid,RB,32,81
Iñaki Williams,Ghana,Athletic Club,RM,29,81
Wilfried Zaha,Côte d'Ivoire,Galatasaray,LW,30,81
Duván Zapata,Colombia,Torino,ST,32,81
Tammy Abraham,England,Roma FC,ST,26,80
Karim Adeyemi,Germany,Borussia Dortmund,LM,21,80
Isco,Spain,Real Betis,CAM,31,80
Julián Álvarez,Argentina,Manchester City,ST,23,80
Sofyan Amrabat,Morocco,Manchester Utd,CDM,27,80
Pepê,Brazil,FC Porto,LM,26,80
Mauro Arambarri,Uruguay,Getafe CF,CDM,28,80
Marko Arnautović,Austria,Inter,ST,34,80
Pierre-Emerick Aubameyang,Gabon,OM,ST,34,80
Ezequiel Ávila,Argentina,CA Osasuna,ST,29,80
Harvey Barnes,England,Newcastle Utd,LW,25,80
Fran Beltrán,Spain,RC Celta,CDM,24,80
Ramy Bensebaini,Algeria,Borussia Dortmund,LB,28,80
Álex Berenguer,Spain,Athletic Club,LM,28,80
Cristiano Biraghi,Italy,Fiorentina,LB,31,80
Leonardo Bonucci,Italy,Union Berlin,CB,36,80
Emiliano Buendía,Argentina,Aston Villa,RM,26,80
Moisés Caicedo,Ecuador,Chelsea,CDM,21,80
Giorgio Chiellini,Italy,LAFC,CB,39,80
Francis Coquelin,France,Villarreal CF,CM,32,80
Juan Cuadrado,Colombia,Inter,RM,35,80
Diogo Dalot,Portugal,Manchester Utd,RB,24,80
Kevin Danso,Austria,RC Lens,CB,25,80
Matteo Darmian,Italy,Inter,CB,33,80
Richarlison,Brazil,Spurs,ST,26,80
De Marcos,Spain,Athletic Club,RB,34,80
Marten de Roon,Holland,Bergamo Calcio,CDM,32,80
Deulofeu,Spain,Udinese,CF,29,80
Brahim,Spain,Real Madrid,CAM,24,80
Marcus Edwards,England,Sporting CP,RW,24,80
Eljif Elmas,North Macedonia,Napoli FC,CAM,24,80
Aritz Elustondo,Spain,Real Sociedad,CB,29,80
Wataru Endo,Japan,Liverpool,CM,30,80
Pervis Estupiñán,Ecuador,Brighton,LB,25,80
Suso,Spain,Sevilla FC,RW,29,80
Youssouf Fofana,France,AS Monaco,CDM,24,80
Emil Forsberg,Sweden,RB Leipzig,CAM,31,80
Juan Foyth,Argentina,Villarreal CF,RB,25,80
Davide Frattesi,Italy,Inter,CM,24,80
Niclas Füllkrug,Germany,Borussia Dortmund,ST,30,80
Aleix García,Spain,Girona FC,CM,26,80
Nuno Santos,Portugal,Sporting CP,LW,28,80
Nemanja Gudelj,Serbia,Sevilla FC,CB,31,80
Dávid Hancko,Slovakia,Feyenoord,CB,25,80
Jordan Henderson,England,Ettifaq FC,CM,33,80
Ibañez,Brazil,Al Ahli,CB,24,80
Mauro Icardi,Argentina,Galatasaray,ST,30,80
Joan Jordán,Spain,Sevilla FC,CM,29,80
Boubacar Kamara,France,Aston Villa,CDM,23,80
Teun Koopmeiners,Holland,Bergamo Calcio,CM,25,80
Takefusa Kubo,Japan,Real Sociedad,RW,22,80
Erik Lamela,Argentina,Sevilla FC,RW,31,80
Armand Laurienté,France,Sassuolo,LW,24,80
Victor Lindelöf,Sweden,Manchester Utd,CB,29,80
Vitinha,Portugal,Paris SG,CM,23,80
Anthony Martial,France,Manchester Utd,ST,27,80
Arnau Martínez,Spain,Girona FC,RB,20,80
Adam Marušić,Montenegro,Latium,LB,30,80
Joel Matip,Cameroon,Liverpool,CB,32,80
Chancel Mbemba,Congo DR,OM,CB,29,80
Facundo Medina,Argentina,RC Lens,CB,24,80
Arthur Cabral,Brazil,SL Benfica,ST,25,80
Kaoru Mitoma,Japan,Brighton,LM,26,80
Álex Moreno,Spain,Aston Villa,LB,30,80
Florentino,Portugal,SL Benfica,CDM,24,80
Hany Mukhtar,Germany,Nashville SC,CF,28,80
Vedat Muriqi,Kosovo,RCD Mallorca,ST,29,80
Jesús Navas,Spain,Sevilla FC,RB,37,80
David Neres,Brazil,SL Benfica,RM,26,80
Saúl,Spain,Atlético de Madrid,CM,28,80
Lucas Ocampos,Argentina,Sevilla FC,RW,29,80
Exequiel Palacios,Argentina,Leverkusen,CM,25,80
Mario Pašalić,Croatia,Bergamo Calcio,CAM,28,80
Gonçalo Ramos,Portugal,Paris SG,ST,22,80
Luiz Felipe,Italy,Al Ittihad,CB,26,80
Sergi Roberto,Spain,FC Barcelona,RB,31,80
Oriol Romeu,Spain,FC Barcelona,CDM,32,80
Valentin Rongier,France,OM,CDM,28,80
Marcel Sabitzer,Austria,Borussia Dortmund,CM,29,80
Téji Savanier,France,Montpellier,CAM,31,80
Leonardo Spinazzola,Italy,Roma FC,LWB,30,80
Nicolás Tagliafico,Argentina,OL,LB,31,80
Kieran Tierney,Scotland,Real Sociedad,LB,26,80
Rafael Tolói,Italy,Bergamo Calcio,CB,32,80
Hamari Traoré,Mali,Real Sociedad,RB,31,80
André Silva,Portugal,Real Sociedad,ST,27,80
Carlos Vela,Mexico,LAFC,RW,34,80
Jordan Veretout,France,OM,CM,30,80
Jonathan Viera,Spain,UD Las Palmas,CAM,34,80
Aaron Wan-Bissaka,England,Manchester Utd,RB,25,80
Ollie Watkins,England,Aston Villa,ST,27,80
Julian Weigl,Germany,M'gladbach,CDM,28,80
Benjamin White,England,Arsenal,RB,26,80
Georginio Wijnaldum,Holland,Ettifaq FC,CM,32,80
Nicolò Zaniolo,Italy,Aston Villa,RM,24,80
Oleksandr Zinchenko,Ukraine,Arsenal,LB,26,80
Hakim Ziyech,Morocco,Galatasaray,RW,30,80
Zubeldia,Spain,Real Sociedad,CB,26,80
Zubimendi,Spain,Real Sociedad,CDM,24,80
Vincent Aboubakar,Cameroon,Beşiktaş,ST,31,79
Nayef Aguerd,Morocco,West Ham,CB,27,79
Joseph Aidoo,Ghana,RC Celta,CB,28,79
Ludovic Ajorque,France,1. FSV Mainz 05,ST,29,79
Thiago Almada,Argentina,Atlanta United,CAM,22,79
Marcos Alonso,Spain,FC Barcelona,LB,32,79
Benjamin André,France,LOSC Lille,CDM,33,79
Fredrik Aursnes,Norway,SL Benfica,CM,27,79
Azpilicueta,Spain,Atlético de Madrid,RB,34,79
Alexander Bah,Denmark,SL Benfica,RB,25,79
Leon Bailey,Jamaica,Aston Villa,RM,26,79
Ridle Baku,Germany,VfL Wolfsburg,RB,25,79
Folarin Balogun,United States,AS Monaco,ST,22,79
Éver Banega,Argentina,Al Shabab,CM,35,79
Ricardo Pereira,Portugal,Leicester City,RB,30,79
Marc Bartra,Spain,Real Betis,CB,32,79
Christoph Baumgartner,Austria,RB Leipzig,CAM,24,79
Yuri Berchiche,Spain,Athletic Club,LB,33,79
Steven Bergwijn,Holland,Ajax,LW,26,79
Gonçalo Inácio,Portugal,Sporting CP,CB,22,79
Yves Bissouma,Mali,Spurs,CDM,27,79
Sacha Boey,France,Galatasaray,RB,23,79
Giacomo Bonaventura,Italy,Fiorentina,CM,34,79
Jarrod Bowen,England,West Ham,RM,26,79
Dan Burn,England,Newcastle Utd,CB,31,79
Rémy Cabella,France,LOSC Lille,CAM,33,79
Antonio Candreva,Italy,Salernitana,CF,36,79
Nicolò Casale,Italy,Latium,CB,25,79
Matty Cash,Poland,Aston Villa,RB,26,79
Valentin Castellanos,Argentina,Latium,ST,25,79
Catena,Spain,CA Osasuna,CB,28,79
Edinson Cavani,Uruguay,Boca Juniors,ST,36,79
Dani Ceballos,Spain,Real Madrid,CM,27,79
Patrick Ciurria,Italy,Monza,RM,28,79
Cucurella,Spain,Chelsea,LB,25,79
Romarinho,Brazil,Al Ittihad,CF,32,79
Luuk de Jong,Holland,PSV,ST,33,79
Raúl de Tomás,Spain,Rayo Vallecano,ST,28,79
Thomas Delaney,Denmark,RSC Anderlecht,CDM,32,79
Kerem Demirbay,Germany,Galatasaray,CM,30,79
Lucas Digne,France,Aston Villa,LB,30,79
Axel Disasi,France,Chelsea,CB,25,79
Angeliño,Spain,Galatasaray,LB,26,79
Eberechi Eze,England,Crystal Palace,CAM,25,79
Ignacio Fernández,Argentina,River Plate,CAM,33,79
Wesley Fofana,France,Chelsea,CB,22,79
Przemysław Frankowski,Poland,RC Lens,RWB,28,79
Gonçalo Guedes,Portugal,SL Benfica,ST,26,79
Álvaro García,Spain,Rayo Vallecano,LM,30,79
Lutsharel Geertruida,Holland,Feyenoord,RB,23,79
Carles Gil,Spain,New England,CAM,30,79
Alexandr Golovin,Russia,AS Monaco,LM,27,79
Joe Gomez,England,Liverpool,CB,26,79
Moi Gómez,Spain,CA Osasuna,CM,29,79
Edgar,Spain,UD Almería,CB,26,79
Robin Gosens,Germany,Union Berlin,LWB,29,79
Amine Gouiri,France,Stade Rennais FC,ST,23,79
Ryan Gravenberch,Holland,Liverpool,CM,21,79
Michael Gregoritsch,Austria,SC Freiburg,ST,29,79
Mattéo Guendouzi,France,Latium,CM,24,79
Christian Günter,Germany,SC Freiburg,LB,30,79
Ander Herrera,Spain,Athletic Club,CM,34,79
Piero Hincapié,Ecuador,Leverkusen,CB,21,79
Juanmi,Spain,Al Riyadh,LM,30,79
Kevin Kampl,Slovenia,RB Leipzig,CM,33,79
Lukas Klostermann,Germany,RB Leipzig,CB,27,79
Ezri Konsa,England,Aston Villa,CB,25,79
Mohammed Kudus,Ghana,West Ham,RW,23,79
Manuel Lazzari,Italy,Latium,RB,29,79
Philipp Lienhart,Austria,SC Freiburg,CB,27,79
Renan Lodi,Brazil,OM,LB,25,79
David López,Spain,Girona FC,CB,34,79
Matheus Nunes,Portugal,Manchester City,CM,25,79
Harry Maguire,England,Manchester Utd,CB,30,79
Lovro Majer,Croatia,VfL Wolfsburg,CM,25,79
Solly March,England,Brighton,RM,29,79
John McGinn,Scotland,Aston Villa,CM,28,79
Callum McGregor,Scotland,Celtic,CDM,30,79
Scott McTominay,Scotland,Manchester Utd,CDM,26,79
Ben Mee,England,Brentford,CB,34,79
Nikola Milenković,Serbia,Fiorentina,CB,25,79
Tyrone Mings,England,Aston Villa,CB,30,79
Aleksandar Mitrović,Serbia,Al Hilal,ST,29,79
Gonzalo Montiel,Argentina,Nott'm Forest,RB,26,79
Morales,Spain,Villarreal CF,ST,36,79
Nordi Mukiele,France,Paris SG,RB,25,79
Luis Muriel,Colombia,Bergamo Calcio,ST,32,79
Wilfred Ndidi,Nigeria,Leicester City,CDM,26,79
Florian Neuhaus,Germany,M'gladbach,CM,26,79
Alex Telles,Brazil,Al Nassr,LB,30,79
Ayoze Pérez,Spain,Real Betis,LM,30,79
Ivan Perišić,Croatia,Spurs,LW,34,79
Kalvin Phillips,England,Manchester City,CDM,27,79
Ethan Pinnock,Jamaica,Brentford,CB,30,79
Yeremy Pino,Spain,Villarreal CF,LM,20,79
Christian Pulisic,United States,Milan,LW,25,79
Giacomo Raspadori,Italy,Napoli FC,CF,23,79
Matheus Reis,Brazil,Sporting CP,CB,28,79
Emanuel Reynoso,Argentina,Minnesota United,CAM,27,79
Lucas Robertone,Argentina,UD Almería,CM,26,79
Sebastian Rode,Germany,Frankfurt,CDM,32,79
