Name,Nation,Position,Overall
Heung Min Son,Korea Republic,LW,87
Khvicha Kvaratskhelia,Georgia,LW,86
Rafael Leão,Portugal,LW,86
Marcus Rashford,England,LW,85
Jack Grealish,England,LW,85
Phil Foden,England,LW,85
Gabriel Martinelli,Brazil,LW,84
Luis Díaz,Colombia,LW,84
Rúben Dias,Portugal,CB,89
Virgil van Dijk,Holland,CB,89
Marquinhos,Brazil,CB,87
Éder Militão,Brazil,CB,86
Matthijs de Ligt,Holland,CB,86
Ronald Araujo,Uruguay,CB,86
Antonio Rüdiger,Germany,CB,85
Aymeric Laporte,Spain,CB,85
John Stones,England,CB,85
Raphaël Varane,France,CB,85
Jules Koundé,France,CB,85
Alessandro Bastoni,Italy,CB,85
David Alaba,Austria,CB,85
Kalidou Koulibaly,Senegal,CB,84
Lisandro Martínez,Argentina,CB,84
Milan Škriniar,Slovakia,CB,84
Bremer,Brazil,CB,84
Chris Smalling,England,CB,84
Niklas Süle,Germany,CB,84
Fikayo Tomori,England,CB,84
Kim Min Jae,Korea Republic,CB,84
Lucas Hernández,France,CB,84
Thiago Silva,Brazil,CB,84
Matthias Ginter,Germany,CB,84
Gabriel,Brazil,CB,84
Gianluca Mancini,Italy,CB,83
Willi Orban,Hungary,CB,83
Benjamin Pavard,France,CB,83
Alessio Romagnoli,Italy,CB,83
William Saliba,France,CB,83
Nico Schlotterbeck,Germany,CB,83
Nacho Fernández,Spain,CB,83
Mats Hummels,Germany,CB,83
Sven Botman,Holland,CB,83
Andreas Christensen,Denmark,CB,83
Pau Torres,Spain,CB,83
José María Giménez,Uruguay,CB,83
Francesco Acerbi,Italy,CB,83
Cristian Romero,Argentina,CB,82
Nicolás Otamendi,Argentina,CB,82
Andrew Robertson,Scotland,LB,86
João Cancelo,Portugal,LB,86
Theo Hernández,France,LB,85
Marcos Acuña,Argentina,LB,85
Luke Shaw,England,LB,83
Jordi Alba,Spain,LB,83
Alphonso Davies,Canada,LB,83
Ferland Mendy,France,LB,82
Nuno Mendes,Portugal,LB,82
Javi Galán,Spain,LB,82
Raphaël Guerreiro,Portugal,LB,82
Gayà,Spain,LB,82
Reinildo,Mozambique,LB,81
Mário Rui,Portugal,LB,81
Ben Chilwell,England,LB,81
Balde,Spain,LB,81
Álex Moreno,Spain,LB,80
Adam Marušić,Montenegro,LB,80
Oleksandr Zinchenko,Ukraine,LB,80
Kieran Tierney,Scotland,LB,80
Nicolás Tagliafico,Argentina,LB,80
Cristiano Biraghi,Italy,LB,80
Ramy Bensebaini,Algeria,LB,80
Pervis Estupiñán,Ecuador,LB,80
Alex Telles,Brazil,LB,79
Renan Lodi,Brazil,LB,79
Yuri Berchiche,Spain,LB,79
Marcos Alonso,Spain,LB,79
Christian Günter,Germany,LB,79
Cucurella,Spain,LB,79
Lucas Digne,France,LB,79
Angeliño,Spain,LB,79
Caio Henrique,Brazil,LB,78
Mathías Olivera,Uruguay,LB,78
Pedraza,Spain,LB,78
David Raum,Germany,LB,78
Alex Sandro,Brazil,LB,78
Tyrell Malacia,Holland,LB,78
Reguilón,Spain,LB,78
Rico Henry,England,LB,78
Trent Alexander-Arnold,England,RB,86
Kieran Trippier,England,RB,85
Giovanni Di Lorenzo,Italy,RB,85
Reece James,England,RB,84
Kyle Walker,England,RB,84
Achraf Hakimi,Morocco,RB,84
Noussair Mazraoui,Morocco,RB,82
Nahuel Molina,Argentina,RB,82
Carvajal,Spain,RB,82
Pedro Porro,Spain,RB,81
Lucas Vázquez,Spain,RB,81
Davide Calabria,Italy,RB,81
Jesús Navas,Spain,RB,80
Arnau Martínez,Spain,RB,80
Benjamin White,England,RB,80
Sergi Roberto,Spain,RB,80
Aaron Wan-Bissaka,England,RB,80
Hamari Traoré,Mali,RB,80
Diogo Dalot,Portugal,RB,80
De Marcos,Spain,RB,80
Juan Foyth,Argentina,RB,80
Nordi Mukiele,France,RB,79
Gonzalo Montiel,Argentina,RB,79
Manuel Lazzari,Italy,RB,79
Matty Cash,Poland,RB,79
Sacha Boey,France,RB,79
Ricardo Pereira,Portugal,RB,79
Ridle Baku,Germany,RB,79
Alexander Bah,Denmark,RB,79
Azpilicueta,Spain,RB,79
Lutsharel Geertruida,Holland,RB,79
Joël Veltman,Holland,RB,78
Marius Wolf,Germany,RB,78
Takehiro Tomiyasu,Japan,RB,78
James Tavernier,England,RB,78
Emerson Royal,Brazil,RB,78
Vladimír Coufal,Czech Republic,RB,78
Nélson Semedo,Portugal,RB,78
Serge Aurier,Côte d'Ivoire,RB,78
Héctor Bellerín,Spain,RB,78
Jeremie Frimpong,Holland,RWB,83
Jonathan Clauss,France,RWB,81
Denzel Dumfries,Holland,RWB,81
Przemysław Frankowski,Poland,RWB,79
Pablo Maffeo,Spain,RWB,78
Hans Hateboer,Holland,RWB,78
Damián Suárez,Uruguay,RWB,77
Christopher Trimmel,Austria,RWB,77
Mitchell Weiser,Germany,RWB,77
Josip Juranović,Croatia,RWB,77
Silvan Widmer,Switzerland,RWB,76
Wilfried Singo,Côte d'Ivoire,RWB,76
Zeki Çelik,Turkey,RWB,76
Marco Davide Faraoni,Italy,RWB,76
Frédéric Guilbert,France,RWB,76
Milan van Ewijk,Holland,RWB,75
Ricardo Esgaio,Portugal,RWB,75
Rasmus Kristensen,Denmark,RWB,75
Pavel Kadeřábek,Czech Republic,RWB,75
Robert Skov,Denmark,RWB,74
Danny da Costa,Germany,RWB,74
Samuele Birindelli,Italy,RWB,74
Matthias Bader,Germany,RWB,74
Pedro Pereira,Portugal,RWB,73
Pasquale Mazzocchi,Italy,RWB,73
Josha Vagnoman,Germany,RWB,73
Manolis Saliakas,Greece,RWB,73
Jimmy Cabot,France,RWB,73
Kelvin Amian,France,RWB,73
Jayden Bogle,England,RWB,73
Raoul Bellanova,Italy,RWB,73
Silvan Hefti,Switzerland,RWB,73
Isaiah Jones,England,RWB,73
Issa Kaboré,Burkina Faso,RWB,73
Miguel Maga,Portugal,RWB,73
Tatsuhiro Sakamoto,Japan,RWB,72
André Geraldes,Portugal,RWB,72
Ahn Hyun Beom,Korea Republic,RWB,72
Bartosz Bereszyński,Poland,RWB,72
Pol Lirola,Spain,RWB,72
Martin Linnes,Norway,RWB,72
Valentino Lazaro,Austria,RWB,72
Alberto Espínola,Paraguay,RWB,72
Timothy Fosu-Mensah,Holland,RWB,72
Sei Muroya,Japan,RWB,71
Jan Mejdr,Czech Republic,RWB,71
Tang Miao,China PR,RWB,71
Tomáš Wiesner,Czech Republic,RWB,71
Mads Roerslev,Denmark,RWB,71
Brandon Soppy,France,RWB,71
Junior Sambia,France,RWB,71
Mario Sampirisi,Italy,RWB,71
James Bree,England,RWB,71
Felix Beijmo,Sweden,RWB,71
George Baldock,Greece,RWB,71
Kingsley Ehizibue,Nigeria,RWB,71
Giovanni González,Uruguay,RWB,71
Agustín Giay,Argentina,RWB,71
Eric Meza,Argentina,RWB,70
Julien Le Cardinal,France,RWB,70
Grimaldo,Spain,LWB,84
Federico Dimarco,Italy,LWB,82
Leonardo Spinazzola,Italy,LWB,80
Davide Zappacosta,Italy,LWB,79
Robin Gosens,Germany,LWB,79
Philipp Max,Germany,LWB,78
Borna Sosa,Croatia,LWB,78
Joakim Mæhle,Denmark,LWB,77
Jaume Costa,Spain,LWB,77
Deiver Machado,Colombia,LWB,76
Jérôme Roussillon,France,LWB,76
Anthony Caci,France,LWB,76
Malcom Braida,Argentina,LWB,76
Massadio Haïdara,Mali,LWB,76
Aarón,Spain,LWB,75
Josh Doig,Scotland,LWB,75
Neto Borges,Brazil,LWB,74
Ryan Manning,Republic of Ireland,LWB,74
Maximilian Mittelstädt,Germany,LWB,74
Jaroslav Zelený,Czech Republic,LWB,74
Mitchel Bakker,Holland,LWB,74
Hassane Kamara,Côte d'Ivoire,LWB,74
Ryan Giles,England,LWB,74
Christopher Lenz,Germany,LWB,73
Francesco Zampano,Italy,LWB,73
Eduard Sobol,Ukraine,LWB,73
Clerc,Spain,LWB,73
Rafael Delgado,Argentina,LWB,73
Fabian Holland,Germany,LWB,73
Casper Højer,Denmark,LWB,73
Ridgeciano Haps,Suriname,LWB,73
Giorgos Kyriakopoulos,Greece,LWB,73
Adam Masina,Morocco,LWB,72
Max Lowe,England,LWB,72
Leonardo Lelo,Portugal,LWB,72
Juan Iglesias,Spain,LWB,72
Anthony Jung,Germany,LWB,72
Dimitri Liénard,France,LWB,72
Derrick Köhn,Germany,LWB,72
Alfie Doughty,England,LWB,72
Thomas Delaine,France,LWB,72
Ben Osborn,England,LWB,71
Bali Mumba,England,LWB,71
Callum Styles,Hungary,LWB,71
Domagoj Bradarić,Croatia,LWB,71
Jake Bidwell,England,LWB,71
Amari'i Bell,Jamaica,LWB,71
Marco John,Germany,LWB,71
Daniel Lovitz,United States,LWB,70
Jordan Zemura,Zimbabwe,LWB,70
Robbie Brady,Republic of Ireland,LWB,70
Ricardo Mangas,Portugal,LWB,70
Kristoffer Haugen,Norway,LWB,70
Simen Juklerød,Norway,LWB,70
Hong Chul,Korea Republic,LWB,70
Nicolás Fernández,Argentina,LWB,70
Álvaro Fernández,Spain,LWB,70
Rhys Norrington-Davies,Wales,LWB,69
Ryoya Ogawa,Japan,LWB,69
Nicola Murru,Italy,LWB,69
